folder	true_brand	phish_category	pred_brand	runtime_element_recognition	runtime_siamese
Instagram+257	Instagram	1	Dropbox	0.12637662887573242	0.1177511215209961
WeTransfer+80	WeTransfer	1	HSBC Bank	0.14345455169677734	0.042207956314086914
Blockchain+6	Blockchain	1	Chase Personal Banking	0.14012360572814941	0.2022244930267334
WhatsApp+366	WhatsApp	1	SOCIETE FRANCAISE DU RADIOTELEPHONE	0.15988373756408691	0.16914844512939453
Adobe+270	Adobe	1	Chase Personal Banking	0.14667677879333496	0.15319085121154785
Navy Federal Credit Union+155	Navy Federal Credit Union	1	ATB Financial	0.15257906913757324	0.1421341896057129
Dropbox+276	Dropbox	1	Yahoo!	0.14507555961608887	0.04244804382324219
Alaska USA Federal Credit Union+250	Alaska USA Federal Credit Union	0		0.15602850914001465	0.23466849327087402
Etisalat+427	Etisalat	1	DocuSign	0.14469122886657715	0.17858171463012695
IRS+320	IRS	1	DHL Airways	0.1374514102935791	0.04183173179626465
Scotiabank+222	Scotiabank	0		0.14017248153686523	0.13977837562561035
Blockchain+454	Blockchain	1	Chase Personal Banking	0.13949823379516602	0.1268002986907959
DocuSign+210	DocuSign	1	M & T Bank Coporation	0.13845372200012207	0.19428110122680664
Steam+299	Steam	1	Telstra Corporation Limited	0.14117908477783203	0.041188955307006836
PayPal+348	PayPal	1	Scotiabank	0.14141511917114258	0.0418398380279541
GoDaddy+235	GoDaddy	1	PayPal	0.13926196098327637	0.046871185302734375
Orange+338	Orange	1	Bank Al Habib	0.14137911796569824	0.04173421859741211
AT&T+346	AT&T	1	PayPal	0.13747024536132812	0.10163497924804688
Spectrum+128	Spectrum	1	Bank of New Zealand	0.13876628875732422	0.09598708152770996
DocuSign+194	DocuSign	1	SOCIETE FRANCAISE DU RADIOTELEPHONE	0.1480574607849121	0.045378684997558594
Blockchain+65	Blockchain	1	United Services Automobile Association	0.14029145240783691	0.04183340072631836
DocuSign+146	DocuSign	1	M & T Bank Coporation	0.13708782196044922	0.0402376651763916
Adobe+72	Adobe	0		0.14626669883728027	0.2132577896118164
Facebook+254	Facebook	0		0.10720944404602051	0.17470812797546387
Banca Sella+111	Banca Sella	1	Key Bank	0.1421198844909668	0.04616737365722656
Navy Federal Credit Union+133	Navy Federal Credit Union	1	ATB Financial	0.15157222747802734	0.14200210571289062
PostFinance+424	PostFinance	1	eBay	0.13704395294189453	0.04457592964172363
American Express+140	American Express	1	Google	0.1424853801727295	0.041295528411865234
PayPal+354	PayPal	0		0.1380927562713623	0.043607234954833984
eBay+179	eBay	1	Luno	0.13861775398254395	0.040726661682128906
IRS+186	IRS	1	DHL Airways	0.13913393020629883	0.042192697525024414
Square+142	Square	1	Aruba S.p.A.	0.13984179496765137	0.046047210693359375
WhatsApp+96	WhatsApp	1	Bet365	0.16309165954589844	0.061662912368774414
Etisalat+402	Etisalat	1	Suncorp Group	0.1520378589630127	0.17845892906188965
American Express+270	American Express	1	LinkedIn Corporation	0.14173340797424316	0.0413515567779541
Navy Federal Credit Union+273	Navy Federal Credit Union	1	ATB Financial	0.15394210815429688	0.14180302619934082
Rackspace+107	Rackspace	1	MWeb	0.14023065567016602	0.03990054130554199
Standard Chartered Bank+295	Standard Chartered Bank	0		0.15081405639648438	0.2816598415374756
GoDaddy+341	GoDaddy	1	Nationwide Building Society	0.14288663864135742	0.20916509628295898
Banca Sella+408	Banca Sella	1	The Vanguard Group	0.14086699485778809	0.04756760597229004
Bet365+239	Bet365	1	Kiwibank Limited	0.14780402183532715	0.14649176597595215
Scotiabank+174	Scotiabank	0		0.1446225643157959	0.14138484001159668
1&1 Ionos+40	1&1 Ionos	1	Kiwibank Limited	0.14289212226867676	0.047603607177734375
Adobe+6	Adobe	1	Chase Personal Banking	0.14831948280334473	0.13258695602416992
Apple+354	Apple	1	Square	0.14031028747558594	0.11959314346313477
Google+80	Google	1	Bet365	0.15630626678466797	0.05113816261291504
Blockchain+171	Blockchain	1	United Services Automobile Association	0.14266109466552734	0.04521369934082031
OneDrive+22	OneDrive	1	Chase Personal Banking	0.14901328086853027	0.13361501693725586
Rackspace+269	Rackspace	1	1&1 Ionos	0.1399097442626953	0.21300220489501953
Spectrum+33	Spectrum	1	Bank of New Zealand	0.13845372200012207	0.09547853469848633
Square+458	Square	1	Aruba S.p.A.	0.13828516006469727	0.0459444522857666
Alaska USA Federal Credit Union+455	Alaska USA Federal Credit Union	0		0.1556565761566162	0.2322239875793457
PayPal+139	PayPal	1	Facebook	0.13893461227416992	0.1903688907623291
163.cn+84	163.cn	1	Chase Personal Banking	0.14688873291015625	0.046063899993896484
Spotify+323	Spotify	0		0.15427684783935547	0.17934441566467285
AOL+430	AOL	1	ATB Financial	0.1416158676147461	0.04145407676696777
Rackspace+289	Rackspace	1	1&1 Ionos	0.13967037200927734	0.21471261978149414
Scotiabank+116	Scotiabank	0		0.14124774932861328	0.13998818397521973
GoDaddy+425	GoDaddy	1	Key Bank	0.1425614356994629	0.04827451705932617
PostFinance+419	PostFinance	1	PostFinance	0.13977956771850586	0.04059457778930664
Spectrum+73	Spectrum	1	Equa bank	0.13799738883972168	0.08943867683410645
Standard Chartered Bank+402	Standard Chartered Bank	1	TSB Bank Limited	0.1420116424560547	0.09210920333862305
DocuSign+161	DocuSign	0		0.140244722366333	0.21164393424987793
eBay+18	eBay	1	Spotify	0.1412043571472168	0.03949379920959473
Deutsche Telekom+135	Deutsche Telekom	0		0.1417860984802246	0.248154878616333
1&1 Ionos+191	1&1 Ionos	1	Trade Me NZ	0.13217544555664062	0.04247570037841797
Navy Federal Credit Union+334	Navy Federal Credit Union	1	Global Sources HK	0.15273356437683105	0.046692609786987305
DHL Airways+390	DHL Airways	1	U.S. Bank	0.14651179313659668	0.04169344902038574
Bet365+16	Bet365	1	Desjardins	0.14891600608825684	0.05484414100646973
Etisalat+431	Etisalat	1	DocuSign	0.14516043663024902	0.17592811584472656
Amazon+341	Amazon	1	TPG Telecom	0.14103293418884277	0.10059905052185059
GoDaddy+29	GoDaddy	1	The Vanguard Group	0.14237666130065918	0.045855045318603516
Rackspace+455	Rackspace	1	MWeb	0.13985300064086914	0.17747783660888672
Square+148	Square	1	Aruba S.p.A.	0.14010095596313477	0.04612326622009277
AOL+153	AOL	1	AOL	0.14078140258789062	0.04059743881225586
Rackspace+335	Rackspace	1	1&1 Ionos	0.14057612419128418	0.21492815017700195
AOL+122	AOL	1	AOL	0.13938593864440918	0.040404319763183594
AOL+76	AOL	1	CaixaBank	0.1408853530883789	0.04026913642883301
Navy Federal Credit Union+458	Navy Federal Credit Union	1	ATB Financial	0.15240120887756348	0.14216852188110352
Orange+92	Orange	0		0.14290595054626465	0.24172234535217285
AT&T+77	AT&T	1	Nationwide Building Society	0.13854575157165527	0.09866809844970703
DocuSign+154	DocuSign	1	M & T Bank Coporation	0.13941264152526855	0.0405271053314209
Rackspace+109	Rackspace	1	MWeb	0.1405162811279297	0.040368080139160156
American Express+215	American Express	1	LinkedIn Corporation	0.14216160774230957	0.041455984115600586
DocuSign+332	DocuSign	0		0.1395282745361328	0.22882628440856934
Spotify+186	Spotify	1	Landesbank Berlin AG	0.13871383666992188	0.13797259330749512
WhatsApp+325	WhatsApp	1	WhatsApp	0.14417815208435059	0.04221677780151367
Steam+454	Steam	1	Bet365	0.15794610977172852	0.05618143081665039
Apple+133	Apple	0		0.14048290252685547	0.19423818588256836
WeTransfer+450	WeTransfer	0		0.1430206298828125	0.2704932689666748
Bank of America+6	Bank of America	1	eBay	0.14369511604309082	0.042032718658447266
Square+348	Square	1	Aruba S.p.A.	0.14077401161193848	0.046303749084472656
Netflix+144	Netflix	1	Netflix	0.1651155948638916	0.3044893741607666
Steam+435	Steam	1	Steam	0.14604544639587402	0.04363417625427246
Deutsche Telekom+207	Deutsche Telekom	1	Enel Energia S.p.A	0.1534121036529541	0.15332579612731934
DHL Airways+278	DHL Airways	1	U.S. Bank	0.14730310440063477	0.04197406768798828
Blockchain+438	Blockchain	1	Chase Personal Banking	0.13973498344421387	0.04458212852478027
Bank of America+389	Bank of America	1	Bank of America	0.149993896484375	0.07567572593688965
WeTransfer+385	WeTransfer	0		0.14524626731872559	0.18226051330566406
Bet365+390	Bet365	1	Bet365	0.1534731388092041	0.05359482765197754
Deutsche Telekom+297	Deutsche Telekom	1	DocuSign	0.14084792137145996	0.04493093490600586
Netflix+240	Netflix	1	Netflix	0.16501235961914062	0.16854214668273926
Instagram+41	Instagram	0		0.14141082763671875	0.17288947105407715
Netflix+51	Netflix	1	Netflix	0.16594600677490234	0.06354117393493652
Apple+70	Apple	0		0.1405467987060547	0.26578712463378906
1&1 Ionos+81	1&1 Ionos	0		0.1319737434387207	0.17380785942077637
Apple+146	Apple	1	Charities Aid Foundation	0.13754892349243164	0.04093050956726074
American Express+396	American Express	1	Google	0.14823269844055176	0.04125857353210449
PostFinance+356	PostFinance	1	PostFinance	0.14472484588623047	0.04008817672729492
Amazon+186	Amazon	1	Monmouth Telecom	0.14119815826416016	0.044760704040527344
DHL Airways+73	DHL Airways	1	Verizon Wireless	0.14550471305847168	0.04138755798339844
American Express+65	American Express	1	Swisscom IT Services AG	0.1440742015838623	0.09383702278137207
Standard Chartered Bank+415	Standard Chartered Bank	1	Standard Chartered Bank	0.13995814323425293	0.039473533630371094
Google+260	Google	0		0.14027070999145508	0.2720601558685303
Spotify+31	Spotify	1	NedBank Limited	0.13908648490905762	0.13619494438171387
Instagram+310	Instagram	1	AOL	0.143812894821167	0.04663491249084473
AT&T+235	AT&T	1	PayPal	0.1384284496307373	0.044040679931640625
AT&T+218	AT&T	1	BT Group plc	0.13924431800842285	0.04621410369873047
Facebook+139	Facebook	1	Chase Personal Banking	0.14711666107177734	0.04625582695007324
Bank of America+204	Bank of America	1	Daum	0.14833545684814453	0.04496002197265625
PayPal+245	PayPal	1	PayPal	0.13994288444519043	0.04375457763671875
DocuSign+264	DocuSign	1	Twitter, Inc.	0.1634843349456787	0.24720335006713867
Netflix+231	Netflix	1	Trade Me NZ	0.1586780548095703	0.05035400390625
1&1 Ionos+4	1&1 Ionos	1	Kiwibank Limited	0.1410539150238037	0.1781482696533203
Orange+19	Orange	1	WhatsApp	0.13776302337646484	0.040326833724975586
Societe Generale+204	Societe Generale	1	Grupo Santander	0.14196467399597168	0.04152727127075195
AT&T+158	AT&T	1	DGI French Tax Authority	0.138045072555542	0.10499310493469238
AT&T+152	AT&T	1	SF Express Co	0.13826608657836914	0.04561114311218262
Etisalat+195	Etisalat	1	Vodafone	0.14297175407409668	0.09926748275756836
Steam+44	Steam	1	Steam	0.15360713005065918	0.14150404930114746
Instagram+212	Instagram	1	Banca Sella	0.14285635948181152	0.13416695594787598
Facebook+190	Facebook	1	Maersk	0.13896679878234863	0.03939628601074219
Square+106	Square	1	Aruba S.p.A.	0.13898158073425293	0.045102834701538086
DHL Airways+184	DHL Airways	1	1&1 Ionos	0.14693903923034668	0.041544437408447266
Navy Federal Credit Union+79	Navy Federal Credit Union	0		0.15038776397705078	0.27079176902770996
IRS+236	IRS	1	Instagram	0.13908934593200684	0.04095005989074707
eBay+288	eBay	1	Bet365	0.14281702041625977	0.20018458366394043
Alaska USA Federal Credit Union+280	Alaska USA Federal Credit Union	1	Juno Online Services	0.15431928634643555	0.2394115924835205
DHL Airways+199	DHL Airways	1	Giffgaff	0.15217328071594238	0.04584932327270508
Navy Federal Credit Union+274	Navy Federal Credit Union	1	ATB Financial	0.15369725227355957	0.1425178050994873
IRS+369	IRS	1	DHL Airways	0.13845372200012207	0.042012929916381836
Navy Federal Credit Union+20	Navy Federal Credit Union	1	Navy Federal Credit Union	0.1475238800048828	0.045812129974365234
Societe Generale+245	Societe Generale	1	Grupo Santander	0.1420443058013916	0.0423123836517334
Spotify+434	Spotify	1	NedBank Limited	0.13823628425598145	0.2385561466217041
eBay+418	eBay	1	ASB Bank Limited	0.1403672695159912	0.21346020698547363
DHL Airways+131	DHL Airways	1	1&1 Ionos	0.1471705436706543	0.04176187515258789
Netflix+417	Netflix	1	Netflix	0.16439437866210938	0.19940423965454102
PostFinance+299	PostFinance	1	Facebook	0.1411426067352295	0.045087575912475586
Steam+378	Steam	1	Swisscom IT Services AG	0.15659689903259277	0.04882693290710449
Etisalat+36	Etisalat	1	Frontier Communications	0.14580965042114258	0.040467023849487305
Apple+440	Apple	1	Zoopla	0.13809967041015625	0.0445711612701416
WeTransfer+104	WeTransfer	1	Adobe	0.15899205207824707	0.060001373291015625
Bet365+399	Bet365	1	Trade Me NZ	0.15322470664978027	0.05350947380065918
Instagram+336	Instagram	1	LinkedIn Corporation	0.14012503623962402	0.04157686233520508
Spectrum+66	Spectrum	1	Bank of New Zealand	0.13910341262817383	0.09589338302612305
Bank of America+277	Bank of America	1	eBay	0.14181828498840332	0.05063128471374512
DocuSign+99	DocuSign	1	DocuSign	0.13977718353271484	0.04497241973876953
AT&T+94	AT&T	1	AOL	0.13924312591552734	0.2053666114807129
1&1 Ionos+348	1&1 Ionos	1	Nationwide Building Society	0.141768217086792	0.04523420333862305
PostFinance+361	PostFinance	1	PostFinance	0.1400895118713379	0.04058647155761719
Scotiabank+52	Scotiabank	1	Juno Online Services	0.14069008827209473	0.202911376953125
DocuSign+454	DocuSign	1	Verizon Wireless	0.13669705390930176	0.04133725166320801
OneDrive+75	OneDrive	1	Digital Federal Credit Union	0.15903759002685547	0.05333137512207031
Netflix+416	Netflix	1	Netflix	0.16138982772827148	0.0639197826385498
Dropbox+98	Dropbox	1	Banca Sella	0.15402984619140625	0.10719776153564453
Navy Federal Credit Union+226	Navy Federal Credit Union	1	BH Telecom	0.15137982368469238	0.04670906066894531
American Express+157	American Express	1	Google	0.14452791213989258	0.04146623611450195
Rackspace+252	Rackspace	1	Maersk	0.1403818130493164	0.21192336082458496
Apple+210	Apple	1	Visa International Service Association	0.14410781860351562	0.12911701202392578
Bank of America+278	Bank of America	1	Trade Me NZ	0.14210987091064453	0.11573290824890137
