folder	true_brand	phish_category	pred_brand	runtime_element_recognition	runtime_siamese
Instagram+257	Instagram	1	Instagram	0.12597322463989258	0.03530120849609375
WeTransfer+80	WeTransfer	1	WeTransfer	0.1414172649383545	0.18572115898132324
Blockchain+6	Blockchain	0		0.13789129257202148	0.28321075439453125
WhatsApp+366	WhatsApp	0		0.15493249893188477	0.25435924530029297
Adobe+270	Adobe	1	Adobe	0.14418315887451172	0.03623819351196289
Navy Federal Credit Union+155	Navy Federal Credit Union	1	Navy Federal Credit Union	0.14914870262145996	0.0398249626159668
Dropbox+276	Dropbox	1	Dropbox	0.14062118530273438	0.034502267837524414
Alaska USA Federal Credit Union+250	Alaska USA Federal Credit Union	1	Alaska USA Federal Credit Union	0.1517026424407959	0.04349946975708008
Etisalat+427	Etisalat	1	Etisalat	0.1431105136871338	0.033951759338378906
IRS+320	IRS	1	IRS	0.13703203201293945	0.03288912773132324
Scotiabank+222	Scotiabank	1	Scotiabank	0.1376361846923828	0.03316855430603027
Blockchain+454	Blockchain	0		0.1375741958618164	0.13391470909118652
DocuSign+210	DocuSign	1	DocuSign	0.13724803924560547	0.03271222114562988
Steam+299	Steam	1	Steam	0.13878822326660156	0.033623695373535156
PayPal+348	PayPal	1	PayPal	0.1366579532623291	0.03390145301818848
GoDaddy+235	GoDaddy	0		0.1394786834716797	0.03284573554992676
Orange+338	Orange	1	Orange	0.13721513748168945	0.0325465202331543
AT&T+346	AT&T	1	AT&T	0.13635611534118652	0.03279900550842285
Spectrum+128	Spectrum	1	Spectrum	0.13994693756103516	0.0331723690032959
DocuSign+194	DocuSign	1	DocuSign	0.14533495903015137	0.15538907051086426
Blockchain+65	Blockchain	1	Blockchain	0.13715791702270508	0.032942771911621094
DocuSign+146	DocuSign	1	DocuSign	0.13646984100341797	0.03259682655334473
Adobe+72	Adobe	1	Adobe	0.14364957809448242	0.036630868911743164
Facebook+254	Facebook	0		0.10416173934936523	0.15296196937561035
Banca Sella+111	Banca Sella	1	Banca Sella	0.139068603515625	0.03306460380554199
Navy Federal Credit Union+133	Navy Federal Credit Union	1	Navy Federal Credit Union	0.15012717247009277	0.04022336006164551
PostFinance+424	PostFinance	1	PostFinance	0.1384601593017578	0.032449960708618164
American Express+140	American Express	1	American Express	0.14169573783874512	0.08216071128845215
PayPal+354	PayPal	1	PayPal	0.1366865634918213	0.032677412033081055
eBay+179	eBay	1	eBay	0.13769912719726562	0.03261995315551758
IRS+186	IRS	1	IRS	0.13677215576171875	0.032800912857055664
Square+142	Square	1	Square	0.1363065242767334	0.03239560127258301
WhatsApp+96	WhatsApp	0		0.16069579124450684	0.25782036781311035
Etisalat+402	Etisalat	1	Etisalat	0.14362072944641113	0.03370308876037598
American Express+270	American Express	0		0.13814878463745117	0.14321541786193848
Navy Federal Credit Union+273	Navy Federal Credit Union	1	Navy Federal Credit Union	0.14967608451843262	0.039960622787475586
Rackspace+107	Rackspace	1	Rackspace	0.13670706748962402	0.03262948989868164
Standard Chartered Bank+295	Standard Chartered Bank	0		0.14938974380493164	0.15139436721801758
GoDaddy+341	GoDaddy	0		0.13975882530212402	0.033757686614990234
Banca Sella+408	Banca Sella	1	Banca Sella	0.1390671730041504	0.03302192687988281
Bet365+239	Bet365	1	Bet365	0.14384007453918457	0.03647899627685547
Scotiabank+174	Scotiabank	1	Scotiabank	0.13864660263061523	0.03315162658691406
1&1 Ionos+40	1&1 Ionos	1	1&1 Ionos	0.13785433769226074	0.032769203186035156
Adobe+6	Adobe	1	Adobe	0.14421558380126953	0.0366816520690918
Apple+354	Apple	1	Apple	0.139146089553833	0.10512638092041016
Google+80	Google	0		0.15323519706726074	0.2660362720489502
Blockchain+171	Blockchain	0		0.1389787197113037	0.13959193229675293
OneDrive+22	OneDrive	1	Adobe	0.14733386039733887	0.03777790069580078
Rackspace+269	Rackspace	1	Rackspace	0.13738799095153809	0.033071279525756836
Spectrum+33	Spectrum	1	Spectrum	0.13858723640441895	0.03310132026672363
Square+458	Square	1	Square	0.13653182983398438	0.0325469970703125
Alaska USA Federal Credit Union+455	Alaska USA Federal Credit Union	1	Alaska USA Federal Credit Union	0.15251564979553223	0.04279756546020508
PayPal+139	PayPal	1	PayPal	0.13475394248962402	0.03178691864013672
163.cn+84	163.cn	0		0.14564967155456543	0.24404335021972656
Spotify+323	Spotify	1	Spotify	0.15337300300598145	0.04098939895629883
AOL+430	AOL	1	AOL	0.1378026008605957	0.033103227615356445
Rackspace+289	Rackspace	1	Rackspace	0.13713836669921875	0.03303813934326172
Scotiabank+116	Scotiabank	1	Scotiabank	0.13745546340942383	0.0329432487487793
GoDaddy+425	GoDaddy	0		0.13895583152770996	0.03281545639038086
PostFinance+419	PostFinance	1	PostFinance	0.1371450424194336	0.03285408020019531
Spectrum+73	Spectrum	1	Spectrum	0.1387615203857422	0.0327451229095459
Standard Chartered Bank+402	Standard Chartered Bank	1	Standard Chartered Bank	0.13929247856140137	0.03307747840881348
DocuSign+161	DocuSign	1	DocuSign	0.13741040229797363	0.03325390815734863
eBay+18	eBay	1	eBay	0.1376352310180664	0.03267693519592285
Deutsche Telekom+135	Deutsche Telekom	1	Deutsche Telekom	0.13924026489257812	0.03317880630493164
1&1 Ionos+191	1&1 Ionos	1	1&1 Ionos	0.1402585506439209	0.033835411071777344
Navy Federal Credit Union+334	Navy Federal Credit Union	1	Navy Federal Credit Union	0.14920306205749512	0.03945350646972656
DHL Airways+390	DHL Airways	1	DHL Airways	0.1425008773803711	0.034800052642822266
Bet365+16	Bet365	1	Bet365	0.14496493339538574	0.03806138038635254
Etisalat+431	Etisalat	1	Etisalat	0.14256906509399414	0.03387737274169922
Amazon+341	Amazon	1	Amazon	0.13991332054138184	0.032778263092041016
GoDaddy+29	GoDaddy	0		0.13820528984069824	0.03294086456298828
Rackspace+455	Rackspace	1	Rackspace	0.13866400718688965	0.032746315002441406
Square+148	Square	1	Square	0.13664960861206055	0.03238081932067871
AOL+153	AOL	1	AOL	0.13581371307373047	0.03276848793029785
Rackspace+335	Rackspace	1	Rackspace	0.13768601417541504	0.032729387283325195
AOL+122	AOL	1	AOL	0.13757658004760742	0.03293323516845703
AOL+76	AOL	1	AOL	0.13930368423461914	0.03316760063171387
Navy Federal Credit Union+458	Navy Federal Credit Union	1	Navy Federal Credit Union	0.14969682693481445	0.039740562438964844
Orange+92	Orange	1	Orange	0.14058566093444824	0.03363943099975586
AT&T+77	AT&T	1	AT&T	0.13547086715698242	0.03261399269104004
DocuSign+154	DocuSign	1	DocuSign	0.13737010955810547	0.03275108337402344
Rackspace+109	Rackspace	1	Rackspace	0.13787126541137695	0.0329594612121582
American Express+215	American Express	0		0.13759469985961914	0.14281153678894043
DocuSign+332	DocuSign	1	DocuSign	0.13745975494384766	0.03252863883972168
Spotify+186	Spotify	1	Spotify	0.13689970970153809	0.032988786697387695
WhatsApp+325	WhatsApp	1	WhatsApp	0.1411755084991455	0.034685373306274414
Steam+454	Steam	1	Steam	0.15612411499023438	0.04358482360839844
Apple+133	Apple	0		0.13749361038208008	0.13544654846191406
WeTransfer+450	WeTransfer	1	WeTransfer	0.14295148849487305	0.035242319107055664
Bank of America+6	Bank of America	1	Bank of America	0.13984417915344238	0.03442549705505371
Square+348	Square	1	Square	0.13837122917175293	0.032697439193725586
Netflix+144	Netflix	1	Netflix	0.16063976287841797	0.04906034469604492
Steam+435	Steam	1	Steam	0.14403057098388672	0.03527092933654785
Deutsche Telekom+207	Deutsche Telekom	0		0.1479802131652832	0.09070897102355957
DHL Airways+278	DHL Airways	1	DHL Airways	0.14108490943908691	0.03487062454223633
Blockchain+438	Blockchain	0		0.13772130012512207	0.1405341625213623
Bank of America+389	Bank of America	1	Bank of America	0.14542603492736816	0.038416385650634766
WeTransfer+385	WeTransfer	1	WeTransfer	0.1419374942779541	0.1843719482421875
Bet365+390	Bet365	1	Bet365	0.14876270294189453	0.03985309600830078
Deutsche Telekom+297	Deutsche Telekom	1	Deutsche Telekom	0.13694071769714355	0.03287529945373535
Netflix+240	Netflix	1	Netflix	0.1596221923828125	0.04759049415588379
Instagram+41	Instagram	1	Instagram	0.1380298137664795	0.032727718353271484
Netflix+51	Netflix	1	Netflix	0.16094970703125	0.04857492446899414
Apple+70	Apple	0		0.13721561431884766	0.13503313064575195
1&1 Ionos+81	1&1 Ionos	0		0.13801884651184082	0.1466686725616455
Apple+146	Apple	0		0.13685178756713867	
American Express+396	American Express	0		0.12674212455749512	0.26320433616638184
PostFinance+356	PostFinance	1	PostFinance	0.13972783088684082	0.03309750556945801
Amazon+186	Amazon	1	Amazon	0.13931012153625488	0.03301572799682617
DHL Airways+73	DHL Airways	1	DHL Airways	0.14159297943115234	0.03395223617553711
American Express+65	American Express	0		0.1411433219909668	0.19091391563415527
Standard Chartered Bank+415	Standard Chartered Bank	1	Standard Chartered Bank	0.13716483116149902	0.032453060150146484
Google+260	Google	0		0.13679075241088867	0.26112794876098633
Spotify+31	Spotify	1	Spotify	0.13887524604797363	0.03316068649291992
Instagram+310	Instagram	1	Instagram	0.14081978797912598	0.03473949432373047
AT&T+235	AT&T	1	AT&T	0.1361532211303711	0.03306841850280762
AT&T+218	AT&T	1	AT&T	0.13657689094543457	0.03237462043762207
Facebook+139	Facebook	0		0.1426224708557129	0.21645593643188477
Bank of America+204	Bank of America	1	Bank of America	0.1454634666442871	0.03801727294921875
PayPal+245	PayPal	1	PayPal	0.13634371757507324	0.03200554847717285
DocuSign+264	DocuSign	1	DocuSign	0.15627789497375488	0.045342445373535156
Netflix+231	Netflix	1	Netflix	0.15427446365356445	0.04322981834411621
1&1 Ionos+4	1&1 Ionos	1	1&1 Ionos	0.13807153701782227	0.032804012298583984
Orange+19	Orange	1	Orange	0.13833141326904297	0.03245878219604492
Societe Generale+204	Societe Generale	0		0.14089608192443848	0.22034144401550293
AT&T+158	AT&T	1	AT&T	0.13695955276489258	0.032570838928222656
AT&T+152	AT&T	1	AT&T	0.13791251182556152	0.03263568878173828
Etisalat+195	Etisalat	1	Etisalat	0.13922619819641113	0.03295636177062988
Steam+44	Steam	1	Steam	0.15082764625549316	0.04029417037963867
Instagram+212	Instagram	0		0.1399092674255371	0.15082764625549316
Facebook+190	Facebook	1	Facebook	0.13634681701660156	0.03205394744873047
Square+106	Square	1	Square	0.13700366020202637	0.03240656852722168
DHL Airways+184	DHL Airways	1	DHL Airways	0.14318180084228516	0.03483319282531738
Navy Federal Credit Union+79	Navy Federal Credit Union	1	Navy Federal Credit Union	0.14954423904418945	0.039869070053100586
IRS+236	IRS	1	IRS	0.13881611824035645	0.03272676467895508
eBay+288	eBay	1	eBay	0.1385800838470459	0.10942459106445312
Alaska USA Federal Credit Union+280	Alaska USA Federal Credit Union	1	Alaska USA Federal Credit Union	0.15125513076782227	0.042046546936035156
DHL Airways+199	DHL Airways	1	DHL Airways	0.14632654190063477	0.037833213806152344
Navy Federal Credit Union+274	Navy Federal Credit Union	1	Navy Federal Credit Union	0.1496889591217041	0.03983879089355469
IRS+369	IRS	1	IRS	0.13767766952514648	0.032607078552246094
Navy Federal Credit Union+20	Navy Federal Credit Union	1	Navy Federal Credit Union	0.14281010627746582	0.03638601303100586
Societe Generale+245	Societe Generale	0		0.14035511016845703	0.22269320487976074
Spotify+434	Spotify	1	Spotify	0.13738417625427246	0.03285861015319824
eBay+418	eBay	1	eBay	0.1376938819885254	0.03275299072265625
DHL Airways+131	DHL Airways	1	DHL Airways	0.13653302192687988	0.034638404846191406
Netflix+417	Netflix	1	Netflix	0.15858769416809082	0.04912281036376953
PostFinance+299	PostFinance	1	PostFinance	0.13759994506835938	0.03415346145629883
Steam+378	Steam	1	Steam	0.15140724182128906	0.04135298728942871
Etisalat+36	Etisalat	1	Etisalat	0.1428358554840088	0.03396201133728027
Apple+440	Apple	0		0.13794970512390137	
WeTransfer+104	WeTransfer	1	WeTransfer	0.13791394233703613	0.04465889930725098
Bet365+399	Bet365	1	Bet365	0.1491396427154541	0.04020261764526367
Instagram+336	Instagram	1	Instagram	0.13719820976257324	0.03313040733337402
Spectrum+66	Spectrum	1	Spectrum	0.13932442665100098	0.03293919563293457
Bank of America+277	Bank of America	1	Bank of America	0.1382312774658203	0.03298687934875488
DocuSign+99	DocuSign	0		0.13920140266418457	0.20343637466430664
AT&T+94	AT&T	1	AT&T	0.1372232437133789	0.03276538848876953
1&1 Ionos+348	1&1 Ionos	1	1&1 Ionos	0.13823509216308594	0.03283357620239258
PostFinance+361	PostFinance	1	PostFinance	0.13894987106323242	0.03284192085266113
Scotiabank+52	Scotiabank	1	Scotiabank	0.13765215873718262	0.0341951847076416
DocuSign+454	DocuSign	1	DocuSign	0.13662934303283691	0.032286882400512695
OneDrive+75	OneDrive	0		0.15469145774841309	0.16524648666381836
Netflix+416	Netflix	1	Netflix	0.15923404693603516	0.04680943489074707
Dropbox+98	Dropbox	1	Dropbox	0.14928865432739258	0.039581298828125
Navy Federal Credit Union+226	Navy Federal Credit Union	1	Navy Federal Credit Union	0.14845800399780273	0.03935647010803223
American Express+157	American Express	0		0.14156746864318848	0.3825709819793701
Rackspace+252	Rackspace	1	Rackspace	0.1374959945678711	0.03314852714538574
Apple+210	Apple	1	Apple	0.14049792289733887	0.21451115608215332
Bank of America+278	Bank of America	1	Bank of America	0.13918852806091309	0.03338217735290527
Deutsche Telekom+304	Deutsche Telekom	1	Deutsche Telekom	0.13803410530090332	0.10207939147949219
AT&T+237	AT&T	1	AT&T	0.13706564903259277	0.032834768295288086
AOL+203	AOL	1	AOL	0.14479708671569824	0.03750920295715332
Spectrum+379	Spectrum	1	Spectrum	0.1375715732574463	0.03244209289550781
Square+225	Square	1	Square	0.13740921020507812	0.03238224983215332
Standard Chartered Bank+5	Standard Chartered Bank	0		0.1521306037902832	0.24787592887878418
Etisalat+271	Etisalat	1	Etisalat	0.14380574226379395	0.033773183822631836
WeTransfer+280	WeTransfer	1	WeTransfer	0.14125680923461914	0.11329340934753418
Adobe+13	Adobe	1	Adobe	0.14510178565979004	0.03642153739929199
Banca Sella+303	Banca Sella	1	Banca Sella	0.13904380798339844	0.03332805633544922
GoDaddy+371	GoDaddy	0		0.13905882835388184	0.03370332717895508
OneDrive+108	OneDrive	1	Adobe	0.15366101264953613	0.13624048233032227
Adobe+239	Adobe	1	Adobe	0.14542484283447266	0.0366673469543457
Steam+392	Steam	0		0.1587352752685547	0.34030866622924805
AT&T+66	AT&T	1	AT&T	0.12193775177001953	0.0335237979888916
Alaska USA Federal Credit Union+449	Alaska USA Federal Credit Union	1	Alaska USA Federal Credit Union	0.1515817642211914	0.042594194412231445
Bet365+363	Bet365	1	Bet365	0.14877963066101074	0.04256796836853027
Alaska USA Federal Credit Union+102	Alaska USA Federal Credit Union	1	Alaska USA Federal Credit Union	0.14188218116760254	0.033937692642211914
Etisalat+69	Etisalat	1	Etisalat	0.14145517349243164	0.033487558364868164
Dropbox+85	Dropbox	1	Dropbox	0.1424267292022705	0.034728288650512695
Spotify+422	Spotify	1	Spotify	0.13791322708129883	0.03289628028869629
Standard Chartered Bank+374	Standard Chartered Bank	1	Standard Chartered Bank	0.15541672706604004	0.04424309730529785
Steam+404	Steam	1	Steam	0.15338826179504395	0.04122447967529297
DHL Airways+52	DHL Airways	1	DHL Airways	0.14234590530395508	0.03364253044128418
Societe Generale+330	Societe Generale	0		0.13988900184631348	0.2111213207244873
eBay+366	eBay	1	eBay	0.13881158828735352	0.03263282775878906
PayPal+296	PayPal	1	PayPal	0.13679122924804688	0.0321199893951416
Instagram+372	Instagram	1	Instagram	0.13916563987731934	0.0324552059173584
Adobe+226	Adobe	1	Adobe	0.15100455284118652	0.1228640079498291
Facebook+448	Facebook	1	Facebook	0.13812255859375	0.032763004302978516
Instagram+342	Instagram	1	Instagram	0.14195775985717773	0.035363197326660156
Orange+314	Orange	1	Orange	0.14285516738891602	0.042860984802246094
Orange+380	Orange	1	Orange	0.13449311256408691	0.03358340263366699
Deutsche Telekom+175	Deutsche Telekom	0		0.13799643516540527	0.06451845169067383
Societe Generale+405	Societe Generale	0		0.14086580276489258	0.2109544277191162
Bet365+284	Bet365	1	Bet365	0.1547996997833252	0.0437932014465332
IRS+450	IRS	1	IRS	0.13868093490600586	0.0331268310546875
Rackspace+1	Rackspace	1	Rackspace	0.1378023624420166	0.03311777114868164
Banca Sella+161	Banca Sella	1	Banca Sella	0.13911867141723633	0.03320646286010742
Bank of America+100	Bank of America	1	Bank of America	0.13824915885925293	0.03365373611450195
Etisalat+124	Etisalat	1	Etisalat	0.14007019996643066	0.03349184989929199
WeTransfer+350	WeTransfer	1	WeTransfer	0.13970160484313965	0.03325295448303223
Amazon+281	Amazon	1	Amazon	0.14020395278930664	0.03345298767089844
Standard Chartered Bank+124	Standard Chartered Bank	0		0.15035367012023926	0.30918025970458984
PostFinance+116	PostFinance	1	PostFinance	0.1392219066619873	0.033463239669799805
Alaska USA Federal Credit Union+56	Alaska USA Federal Credit Union	1	Alaska USA Federal Credit Union	0.1422417163848877	0.034540653228759766
Standard Chartered Bank+119	Standard Chartered Bank	0		0.15088295936584473	0.25438594818115234
Deutsche Telekom+32	Deutsche Telekom	1	Deutsche Telekom	0.14218878746032715	0.0333251953125
Spectrum+193	Spectrum	1	Spectrum	0.1388242244720459	0.03311944007873535
American Express+325	American Express	0		0.14041566848754883	0.1455390453338623
Instagram+22	Instagram	0		0.13793015480041504	0.06686544418334961
IRS+382	IRS	1	IRS	0.13720250129699707	0.03278303146362305
WeTransfer+284	WeTransfer	0		0.1522834300994873	0.24248075485229492
WeTransfer+453	WeTransfer	1	WeTransfer	0.14651274681091309	0.06932401657104492
AT&T+410	AT&T	1	AT&T	0.13701510429382324	0.0324091911315918
Instagram+432	Instagram	1	Instagram	0.14033961296081543	0.034278154373168945
Navy Federal Credit Union+74	Navy Federal Credit Union	1	Navy Federal Credit Union	0.15029621124267578	0.040007591247558594
Bank of America+423	Bank of America	1	Bank of America	0.13911223411560059	0.03376126289367676
PostFinance+14	PostFinance	1	PostFinance	0.14014506340026855	0.03309893608093262
Dropbox+359	Dropbox	1	Dropbox	0.14305996894836426	0.035123348236083984
Navy Federal Credit Union+117	Navy Federal Credit Union	1	Navy Federal Credit Union	0.14688682556152344	0.03703880310058594
Apple+67	Apple	0		0.13641023635864258	0.13773274421691895
PayPal+134	PayPal	1	PayPal	0.13721656799316406	0.032155513763427734
Facebook+424	Facebook	1	Facebook	0.13637042045593262	0.032367706298828125
Bet365+285	Bet365	1	Bet365	0.15122771263122559	0.040556907653808594
Bet365+121	Bet365	1	Bet365	0.14972853660583496	0.04036831855773926
AOL+359	AOL	1	AOL	0.14054560661315918	0.03287863731384277
Blockchain+114	Blockchain	0		0.14166593551635742	0.15465784072875977
WhatsApp+240	WhatsApp	1	WhatsApp	0.14153218269348145	0.03441810607910156
