folder	true_brand	phish_category	pred_brand	runtime_element_recognition	runtime_siamese
Instagram+257	Instagram	1	Instagram	0.1881086826324463	0.035593509674072266
WeTransfer+80	WeTransfer	1	WeTransfer	0.15404081344604492	0.37476229667663574
Blockchain+6	Blockchain	0		0.1902632713317871	0.466123104095459
WhatsApp+366	WhatsApp	0		0.1634078025817871	0.5879478454589844
Adobe+270	Adobe	1	Adobe	0.15439391136169434	0.0442349910736084
Navy Federal Credit Union+155	Navy Federal Credit Union	1	Navy Federal Credit Union	0.15043425559997559	0.07662129402160645
Dropbox+276	Dropbox	1	Dropbox	0.15390992164611816	0.047178030014038086
Alaska USA Federal Credit Union+250	Alaska USA Federal Credit Union	1	Alaska USA Federal Credit Union	0.19283676147460938	0.043389320373535156
Etisalat+427	Etisalat	1	Etisalat	0.14475131034851074	0.07895851135253906
IRS+320	IRS	1	IRS	0.1572895050048828	0.056931257247924805
Scotiabank+222	Scotiabank	1	Scotiabank	0.16031813621520996	0.03417348861694336
Blockchain+454	Blockchain	0		0.1438300609588623	0.3672976493835449
DocuSign+210	DocuSign	1	DocuSign	0.12511157989501953	0.03717494010925293
Steam+299	Steam	1	Steam	0.14487147331237793	0.09360003471374512
PayPal+348	PayPal	1	PayPal	0.16327834129333496	0.035430908203125
GoDaddy+235	GoDaddy	0		0.14554286003112793	0.05276942253112793
Orange+338	Orange	1	Orange	0.14058184623718262	0.0768132209777832
AT&T+346	AT&T	1	AT&T	0.14806675910949707	0.05584430694580078
Spectrum+128	Spectrum	1	Spectrum	0.17863202095031738	0.03965497016906738
DocuSign+194	DocuSign	1	DocuSign	0.15033245086669922	0.26583385467529297
Blockchain+65	Blockchain	1	Blockchain	0.14896607398986816	0.03264665603637695
DocuSign+146	DocuSign	1	DocuSign	0.13948321342468262	0.055722713470458984
Adobe+72	Adobe	1	Adobe	0.15305685997009277	0.03811454772949219
Facebook+254	Facebook	0		0.12009596824645996	0.36249423027038574
Banca Sella+111	Banca Sella	1	Banca Sella	0.13734221458435059	0.032448530197143555
Navy Federal Credit Union+133	Navy Federal Credit Union	1	Navy Federal Credit Union	0.15561747550964355	0.1152036190032959
PostFinance+424	PostFinance	1	PostFinance	0.18683433532714844	0.03225588798522949
American Express+140	American Express	1	American Express	0.14496564865112305	0.15703916549682617
PayPal+354	PayPal	1	PayPal	0.12312626838684082	0.03843045234680176
eBay+179	eBay	1	eBay	0.16514325141906738	0.03231954574584961
IRS+186	IRS	1	IRS	0.19130682945251465	0.03303098678588867
Square+142	Square	1	Square	0.14151668548583984	0.04479670524597168
WhatsApp+96	WhatsApp	0		0.1902916431427002	0.5030577182769775
