folder	true_brand	phish_category	pred_brand	runtime_element_recognition	runtime_siamese
Instagram+257	Instagram	0		0.19253182411193848	0.08891010284423828
WeTransfer+80	WeTransfer	1	Bank of America	0.19279861450195312	0.16602563858032227
Blockchain+6	Blockchain	1	Facebook	0.1920936107635498	0.1540822982788086
WhatsApp+366	WhatsApp	0		0.2254807949066162	0.43058180809020996
Adobe+270	Adobe	1	Yahoo!	0.17444205284118652	0.2701120376586914
Navy Federal Credit Union+155	Navy Federal Credit Union	0		0.19893693923950195	0.12675786018371582
Dropbox+276	Dropbox	1	youtube	0.17026138305664062	0.035422325134277344
Alaska USA Federal Credit Union+250	Alaska USA Federal Credit Union	0		0.2181682586669922	0.40265512466430664
Etisalat+427	Etisalat	0		0.170424222946167	0.33440446853637695
IRS+320	IRS	0		0.1744673252105713	0.1023867130279541
Scotiabank+222	Scotiabank	0		0.17692017555236816	0.3842134475708008
Blockchain+454	Blockchain	0		0.16575074195861816	0.07720208168029785
DocuSign+210	DocuSign	0		0.17697453498840332	
Steam+299	Steam	0		0.16460633277893066	0.4003608226776123
PayPal+348	PayPal	1	Juno Online Services	0.16930246353149414	0.04300689697265625
GoDaddy+235	GoDaddy	0		0.20613431930541992	0.14533758163452148
Orange+338	Orange	0		0.19438719749450684	0.042740821838378906
AT&T+346	AT&T	1	LinkedIn Corporation	0.19202017784118652	0.04304003715515137
Spectrum+128	Spectrum	1	Allegro	0.19462323188781738	0.03937411308288574
DocuSign+194	DocuSign	0		0.2015848159790039	0.2336564064025879
Blockchain+65	Blockchain	0		0.1672816276550293	0.2784285545349121
DocuSign+146	DocuSign	0		0.1542682647705078	
Adobe+72	Adobe	1	Yahoo!	0.1709282398223877	0.04118084907531738
Facebook+254	Facebook	0		0.11788034439086914	0.049811363220214844
Banca Sella+111	Banca Sella	1	Equa bank	0.19179677963256836	0.03676342964172363
Navy Federal Credit Union+133	Navy Federal Credit Union	0		0.20079469680786133	0.12624549865722656
PostFinance+424	PostFinance	0		0.16553354263305664	0.08832907676696777
American Express+140	American Express	1	American Express	0.24952054023742676	0.0447385311126709
PayPal+354	PayPal	0		0.19132161140441895	0.040602684020996094
eBay+179	eBay	0		0.1869792938232422	0.11297488212585449
IRS+186	IRS	0		0.16838836669921875	0.10294294357299805
Square+142	Square	0		0.17249727249145508	0.04268932342529297
WhatsApp+96	WhatsApp	0		0.22031068801879883	0.4080986976623535
Etisalat+402	Etisalat	0		0.1871204376220703	0.35012078285217285
American Express+270	American Express	1	Spectrum	0.17998600006103516	0.03936266899108887
Navy Federal Credit Union+273	Navy Federal Credit Union	0		0.20001912117004395	0.1273179054260254
Rackspace+107	Rackspace	1	MWeb	0.16930890083312988	0.038437604904174805
Standard Chartered Bank+295	Standard Chartered Bank	0		0.21643853187561035	0.36904382705688477
GoDaddy+341	GoDaddy	1	Nationwide Building Society	0.1750035285949707	0.036403656005859375
Banca Sella+408	Banca Sella	1	Apple	0.19795560836791992	0.036873579025268555
Bet365+239	Bet365	0		0.19518089294433594	0.37401747703552246
Scotiabank+174	Scotiabank	0		0.16484284400939941	0.3857996463775635
1&1 Ionos+40	1&1 Ionos	1	CaixaBank	0.18081140518188477	0.14899587631225586
Adobe+6	Adobe	0		0.2047407627105713	0.2038719654083252
Apple+354	Apple	1	Verizon Wireless	0.1789839267730713	0.05195021629333496
Google+80	Google	0		0.21021556854248047	0.41617798805236816
Blockchain+171	Blockchain	0		0.15985441207885742	0.03429102897644043
OneDrive+22	OneDrive	0		0.20659136772155762	0.3197007179260254
Rackspace+269	Rackspace	1	Rackspace	0.1803281307220459	0.04028463363647461
Spectrum+33	Spectrum	1	Allegro	0.19386029243469238	0.039041757583618164
Square+458	Square	0		0.19232916831970215	0.04242420196533203
Alaska USA Federal Credit Union+455	Alaska USA Federal Credit Union	0		0.21763324737548828	0.40363526344299316
PayPal+139	PayPal	1	PayPal	0.16178393363952637	0.04168844223022461
163.cn+84	163.cn	0		0.2046971321105957	0.3154263496398926
Spotify+323	Spotify	0		0.20392727851867676	0.33979129791259766
AOL+430	AOL	1	AOL	0.17348504066467285	0.0328218936920166
Rackspace+289	Rackspace	1	Rackspace	0.19731831550598145	0.040350914001464844
Scotiabank+116	Scotiabank	0		0.19672846794128418	0.38625097274780273
GoDaddy+425	GoDaddy	0		0.1728830337524414	0.1065065860748291
PostFinance+419	PostFinance	1	Suncorp Group	0.18983697891235352	0.04192948341369629
Spectrum+73	Spectrum	0		0.19704937934875488	
Standard Chartered Bank+402	Standard Chartered Bank	1	Desjardins	0.18046021461486816	0.24275922775268555
DocuSign+161	DocuSign	0		0.1997065544128418	0.1350574493408203
eBay+18	eBay	1	eBay	0.18258047103881836	0.05095863342285156
Deutsche Telekom+135	Deutsche Telekom	0		0.206223726272583	0.042817115783691406
1&1 Ionos+191	1&1 Ionos	1	Chase Personal Banking	0.2009599208831787	0.1808617115020752
Navy Federal Credit Union+334	Navy Federal Credit Union	1	Navy Federal Credit Union	0.2068798542022705	0.1768510341644287
DHL Airways+390	DHL Airways	1	PostFinance	0.2207961082458496	0.16560697555541992
Bet365+16	Bet365	0		0.2014167308807373	0.38335251808166504
Etisalat+431	Etisalat	0		0.17121028900146484	0.3383364677429199
Amazon+341	Amazon	1	Amazon	0.17545843124389648	0.034501075744628906
GoDaddy+29	GoDaddy	0		0.20435595512390137	0.3042933940887451
Rackspace+455	Rackspace	1	MWeb	0.1807692050933838	0.03850507736206055
Square+148	Square	0		0.19672656059265137	0.04665231704711914
AOL+153	AOL	1	AOL	0.19196867942810059	0.04381394386291504
Rackspace+335	Rackspace	1	Rackspace	0.19827485084533691	0.04089474678039551
AOL+122	AOL	1	AOL	0.19392800331115723	0.04397773742675781
