folder	true_brand	phish_category	pred_brand	runtime_element_recognition	runtime_siamese
Instagram+257	Instagram	0		0.2319033145904541	0.10198116302490234
WeTransfer+80	WeTransfer	1	Bank of America	0.1968059539794922	0.2740809917449951
Blockchain+6	Blockchain	1	Facebook	0.22047162055969238	0.1898789405822754
WhatsApp+366	WhatsApp	0		0.22820258140563965	0.617607593536377
Adobe+270	Adobe	0		0.20125818252563477	0.4736027717590332
Navy Federal Credit Union+155	Navy Federal Credit Union	0		0.2078847885131836	0.2609400749206543
Dropbox+276	Dropbox	1	Google	0.1660017967224121	0.06738686561584473
Alaska USA Federal Credit Union+250	Alaska USA Federal Credit Union	0		0.20092272758483887	0.7388908863067627
Etisalat+427	Etisalat	0		0.18050360679626465	0.6961150169372559
IRS+320	IRS	0		0.16977834701538086	0.16116714477539062
Scotiabank+222	Scotiabank	0		0.2028369903564453	0.6723227500915527
Blockchain+454	Blockchain	0		0.1629350185394287	0.13292622566223145
DocuSign+210	DocuSign	0		0.19907593727111816	
Steam+299	Steam	0		0.1844949722290039	0.5643229484558105
PayPal+348	PayPal	0		0.1695866584777832	0.4848818778991699
GoDaddy+235	GoDaddy	0		0.21411776542663574	0.2645447254180908
Orange+338	Orange	0		0.1962597370147705	0.19236397743225098
AT&T+346	AT&T	1	AT&T	0.1644136905670166	0.06480669975280762
Spectrum+128	Spectrum	1	Navy Federal Credit Union	0.2283036708831787	0.10593652725219727
DocuSign+194	DocuSign	0		0.2020101547241211	0.3900563716888428
Blockchain+65	Blockchain	0		0.16355085372924805	0.504417896270752
DocuSign+146	DocuSign	0		0.18973493576049805	
Adobe+72	Adobe	0		0.21186089515686035	0.3587472438812256
Facebook+254	Facebook	0		0.11879372596740723	0.1778097152709961
Banca Sella+111	Banca Sella	1	Apple	0.17658710479736328	0.055361032485961914
Navy Federal Credit Union+133	Navy Federal Credit Union	0		0.22913217544555664	0.13669252395629883
PostFinance+424	PostFinance	0		0.17242956161499023	0.17047452926635742
American Express+140	American Express	1	American Express	0.24321246147155762	0.06490254402160645
PayPal+354	PayPal	1	AT&T	0.21384024620056152	0.06995272636413574
eBay+179	eBay	0		0.2133164405822754	0.1664109230041504
IRS+186	IRS	0		0.1934363842010498	0.15178680419921875
Square+142	Square	0		0.1934676170349121	0.2400960922241211
WhatsApp+96	WhatsApp	0		0.19350743293762207	0.7718710899353027
Etisalat+402	Etisalat	0		0.17453646659851074	0.5142292976379395
American Express+270	American Express	1	Spectrum	0.20746994018554688	0.09443545341491699
Navy Federal Credit Union+273	Navy Federal Credit Union	0		0.22872090339660645	0.1892697811126709
Rackspace+107	Rackspace	1	Rackspace	0.1630077362060547	0.039031267166137695
Standard Chartered Bank+295	Standard Chartered Bank	0		0.2676377296447754	0.512052059173584
GoDaddy+341	GoDaddy	1	American Express	0.17387676239013672	0.046396493911743164
Banca Sella+408	Banca Sella	1	Apple	0.20913410186767578	0.03840160369873047
Bet365+239	Bet365	0		0.19696974754333496	0.627887487411499
Scotiabank+174	Scotiabank	0		0.1669306755065918	0.7558701038360596
1&1 Ionos+40	1&1 Ionos	1	1&1 Ionos	0.21177196502685547	0.27498722076416016
Adobe+6	Adobe	0		0.23449921607971191	0.33711791038513184
Apple+354	Apple	1	Steam	0.19656682014465332	0.07478022575378418
Google+80	Google	0		0.23419570922851562	0.6629147529602051
Blockchain+171	Blockchain	1	Facebook	0.15927767753601074	0.036396026611328125
OneDrive+22	OneDrive	0		0.20685958862304688	0.6613833904266357
Rackspace+269	Rackspace	1	Rackspace	0.1976759433746338	0.04066133499145508
Spectrum+33	Spectrum	1	Navy Federal Credit Union	0.20449066162109375	0.09518861770629883
Square+458	Square	0		0.24895620346069336	0.17956900596618652
Alaska USA Federal Credit Union+455	Alaska USA Federal Credit Union	0		0.24452733993530273	0.6942558288574219
PayPal+139	PayPal	1	PayPal	0.17554736137390137	0.041550397872924805
163.cn+84	163.cn	0		0.21114778518676758	0.6048369407653809
Spotify+323	Spotify	0		0.21615338325500488	0.48956942558288574
AOL+430	AOL	1	AOL	0.19370222091674805	0.03337693214416504
Rackspace+289	Rackspace	1	Rackspace	0.20726251602172852	0.10159063339233398
Scotiabank+116	Scotiabank	0		0.20724701881408691	0.5794198513031006
GoDaddy+425	GoDaddy	0		0.16753816604614258	0.18970274925231934
PostFinance+419	PostFinance	1	Banca Sella	0.21006321907043457	0.2663602828979492
Spectrum+73	Spectrum	0		0.20383334159851074	
Standard Chartered Bank+402	Standard Chartered Bank	1	WhatsApp	0.19466423988342285	0.0653374195098877
DocuSign+161	DocuSign	1	1&1 Ionos	0.25087547302246094	0.37111926078796387
eBay+18	eBay	1	eBay	0.16517305374145508	0.07723784446716309
Deutsche Telekom+135	Deutsche Telekom	0		0.22680258750915527	0.2082674503326416
1&1 Ionos+191	1&1 Ionos	1	1&1 Ionos	0.20897388458251953	0.27452588081359863
Navy Federal Credit Union+334	Navy Federal Credit Union	1	Navy Federal Credit Union	0.2461390495300293	0.24456453323364258
DHL Airways+390	DHL Airways	0		0.25159144401550293	0.5915665626525879
Bet365+16	Bet365	0		0.18114304542541504	0.6097962856292725
Etisalat+431	Etisalat	0		0.18880558013916016	0.5418107509613037
Amazon+341	Amazon	1	Amazon	0.20817995071411133	0.08395624160766602
GoDaddy+29	GoDaddy	0		0.22757649421691895	0.4356417655944824
Rackspace+455	Rackspace	1	Rackspace	0.16344332695007324	0.04629874229431152
Square+148	Square	0		0.2006680965423584	0.1868114471435547
AOL+153	AOL	1	AOL	0.16272449493408203	0.06457996368408203
Rackspace+335	Rackspace	1	Rackspace	0.2221217155456543	0.06795096397399902
AOL+122	AOL	1	AOL	0.22167706489562988	0.0541071891784668
