folder	true_brand	phish_category	pred_brand	runtime_element_recognition	runtime_siamese
Instagram+257	Instagram	0		0.18843674659729004	0.08303689956665039
WeTransfer+80	WeTransfer	0		0.20067930221557617	0.565640926361084
Blockchain+6	Blockchain	1	Blockchain	0.17480754852294922	0.045844316482543945
WhatsApp+366	WhatsApp	0		0.22523045539855957	0.41197800636291504
Adobe+270	Adobe	0		0.18049931526184082	0.5972237586975098
Navy Federal Credit Union+155	Navy Federal Credit Union	0		0.17408323287963867	0.10709905624389648
Dropbox+276	Dropbox	0		0.1813206672668457	0.4200129508972168
Alaska USA Federal Credit Union+250	Alaska USA Federal Credit Union	0		0.18476343154907227	0.8976171016693115
Etisalat+427	Etisalat	0		0.16840219497680664	0.6311936378479004
IRS+320	IRS	1	Societe Generale	0.1738572120666504	0.25887560844421387
Scotiabank+222	Scotiabank	0		0.20398306846618652	0.47773241996765137
Blockchain+454	Blockchain	0		0.16803264617919922	0.06861186027526855
DocuSign+210	DocuSign	1	DocuSign	0.1822061538696289	0.03281903266906738
Steam+299	Steam	0		0.1964435577392578	0.49905824661254883
PayPal+348	PayPal	0		0.18705511093139648	0.3150153160095215
GoDaddy+235	GoDaddy	1	Dropbox	0.19306564331054688	0.5073750019073486
Orange+338	Orange	0		0.19487929344177246	0.18126940727233887
AT&T+346	AT&T	0		0.1798701286315918	0.11225652694702148
Spectrum+128	Spectrum	1	Dropbox	0.1718127727508545	0.1704554557800293
DocuSign+194	DocuSign	0		0.20270228385925293	0.537867546081543
Blockchain+65	Blockchain	0		0.17776989936828613	0.6135926246643066
DocuSign+146	DocuSign	0		0.15672588348388672	0.07656049728393555
Adobe+72	Adobe	0		0.1918041706085205	0.48093366622924805
Facebook+254	Facebook	0		0.1121211051940918	0.06744050979614258
Banca Sella+111	Banca Sella	0		0.18519973754882812	0.20215487480163574
Navy Federal Credit Union+133	Navy Federal Credit Union	0		0.18628406524658203	0.10447478294372559
PostFinance+424	PostFinance	0		0.17592167854309082	0.06955170631408691
American Express+140	American Express	1	American Express	0.25855350494384766	0.04500007629394531
PayPal+354	PayPal	1	AT&T	0.2136855125427246	0.1120297908782959
eBay+179	eBay	1	PayPal	0.16634559631347656	0.043054819107055664
IRS+186	IRS	1	Societe Generale	0.19446325302124023	0.3300306797027588
Square+142	Square	1	Square	0.19159150123596191	0.0428767204284668
WhatsApp+96	WhatsApp	0		0.22006750106811523	0.8886978626251221
Etisalat+402	Etisalat	0		0.180375337600708	0.9904682636260986
American Express+270	American Express	1	PostFinance	0.20256352424621582	0.7059252262115479
Navy Federal Credit Union+273	Navy Federal Credit Union	0		0.20036101341247559	0.1838836669921875
Rackspace+107	Rackspace	1	Rackspace	0.17525625228881836	0.04889941215515137
Standard Chartered Bank+295	Standard Chartered Bank	0		0.2506296634674072	1.6968445777893066
GoDaddy+341	GoDaddy	1	Dropbox	0.255845308303833	0.6505599021911621
Banca Sella+408	Banca Sella	0		0.21685457229614258	0.5333609580993652
Bet365+239	Bet365	0		0.20647835731506348	0.6890676021575928
Scotiabank+174	Scotiabank	0		0.20473885536193848	0.8675675392150879
1&1 Ionos+40	1&1 Ionos	1	1&1 Ionos	0.17818665504455566	0.5307350158691406
Adobe+6	Adobe	0		0.21701836585998535	0.9196958541870117
Apple+354	Apple	1	Apple	0.16955876350402832	0.09691214561462402
Google+80	Google	0		0.27915406227111816	0.8384420871734619
Blockchain+171	Blockchain	0		0.16233301162719727	0.40118861198425293
OneDrive+22	OneDrive	0		0.20994877815246582	0.7266561985015869
Rackspace+269	Rackspace	1	Rackspace	0.1628859043121338	0.052515506744384766
Spectrum+33	Spectrum	1	Dropbox	0.2038252353668213	0.2922852039337158
Square+458	Square	1	Square	0.19762253761291504	0.06592488288879395
Alaska USA Federal Credit Union+455	Alaska USA Federal Credit Union	0		0.263561487197876	1.2619884014129639
PayPal+139	PayPal	0		0.18065428733825684	0.1940593719482422
163.cn+84	163.cn	0		0.17351341247558594	0.5971121788024902
Spotify+323	Spotify	0		0.22163605690002441	0.543121337890625
AOL+430	AOL	1	Square	0.1805579662322998	0.337374210357666
Rackspace+289	Rackspace	1	Rackspace	0.22906160354614258	0.04215836524963379
Scotiabank+116	Scotiabank	0		0.20338821411132812	0.8112356662750244
GoDaddy+425	GoDaddy	1	Dropbox	0.19679021835327148	0.526669979095459
PostFinance+419	PostFinance	1	PostFinance	0.24176979064941406	0.36867809295654297
Spectrum+73	Spectrum	1	Dropbox	0.20987868309020996	0.607750654220581
Standard Chartered Bank+402	Standard Chartered Bank	0		0.2180652618408203	0.9675600528717041
DocuSign+161	DocuSign	0		0.17090725898742676	0.4024815559387207
eBay+18	eBay	1	eBay	0.19688200950622559	0.05220293998718262
Deutsche Telekom+135	Deutsche Telekom	0		0.24511313438415527	0.1949462890625
1&1 Ionos+191	1&1 Ionos	1	1&1 Ionos	0.20383334159851074	0.4634692668914795
Navy Federal Credit Union+334	Navy Federal Credit Union	0		0.21731972694396973	1.037264347076416
DHL Airways+390	DHL Airways	1	Banca Sella	0.2074432373046875	0.6823327541351318
Bet365+16	Bet365	0		0.20404958724975586	0.6287293434143066
Etisalat+431	Etisalat	0		0.20397639274597168	0.9319784641265869
Amazon+341	Amazon	1	Amazon	0.2163231372833252	0.08696365356445312
GoDaddy+29	GoDaddy	1	Dropbox	0.22528576850891113	1.1441938877105713
Rackspace+455	Rackspace	1	Rackspace	0.18957257270812988	0.1060640811920166
Square+148	Square	1	Square	0.1915884017944336	0.06230783462524414
AOL+153	AOL	1	AOL	0.22584080696105957	0.04806709289550781
Rackspace+335	Rackspace	1	Rackspace	0.2138209342956543	0.052989959716796875
AOL+122	AOL	1	AOL	0.24107599258422852	0.04363083839416504
AOL+76	AOL	1	AOL	0.2122495174407959	0.08324241638183594
Navy Federal Credit Union+458	Navy Federal Credit Union	0		0.23435091972351074	0.2868034839630127
