folder	true_brand	phish_category	pred_brand	runtime_element_recognition	runtime_siamese
Instagram+257	Instagram	0		0.2503640651702881	0.21378755569458008
WeTransfer+80	WeTransfer	0		0.1880500316619873	0.6009819507598877
Blockchain+6	Blockchain	0		0.1698894500732422	0.3870232105255127
WhatsApp+366	WhatsApp	0		0.22227907180786133	0.5036778450012207
Adobe+270	Adobe	0		0.20496773719787598	0.5970041751861572
Navy Federal Credit Union+155	Navy Federal Credit Union	0		0.16708779335021973	0.19106793403625488
Dropbox+276	Dropbox	0		0.1660778522491455	0.15905356407165527
Alaska USA Federal Credit Union+250	Alaska USA Federal Credit Union	0		0.19806432723999023	1.1205146312713623
Etisalat+427	Etisalat	0		0.1856982707977295	0.8693788051605225
IRS+320	IRS	0		0.21882200241088867	0.1183927059173584
Scotiabank+222	Scotiabank	0		0.19816994667053223	0.8202693462371826
Blockchain+454	Blockchain	0		0.1987771987915039	0.13962388038635254
DocuSign+210	DocuSign	0		0.17053842544555664	
Steam+299	Steam	0		0.18416333198547363	0.4676244258880615
PayPal+348	PayPal	0		0.2059321403503418	0.5245223045349121
GoDaddy+235	GoDaddy	0		0.1764833927154541	0.2580840587615967
Orange+338	Orange	0		0.20728754997253418	0.24337029457092285
AT&T+346	AT&T	0		0.1923065185546875	0.23463225364685059
Spectrum+128	Spectrum	0		0.17444062232971191	0.13604140281677246
DocuSign+194	DocuSign	0		0.20510530471801758	0.3722362518310547
Blockchain+65	Blockchain	0		0.23410367965698242	0.40469861030578613
DocuSign+146	DocuSign	0		0.15426135063171387	
Adobe+72	Adobe	0		0.17744708061218262	0.3878161907196045
Facebook+254	Facebook	0		0.12333321571350098	0.18042635917663574
Banca Sella+111	Banca Sella	1	Apple	0.16956639289855957	0.0563969612121582
Navy Federal Credit Union+133	Navy Federal Credit Union	0		0.25188493728637695	0.19733548164367676
PostFinance+424	PostFinance	0		0.19212031364440918	0.14207744598388672
American Express+140	American Express	1	American Express	0.2636711597442627	0.07308650016784668
PayPal+354	PayPal	1	AT&T	0.20820045471191406	0.12509489059448242
eBay+179	eBay	0		0.19233202934265137	0.2129061222076416
IRS+186	IRS	0		0.18299555778503418	0.1812911033630371
Square+142	Square	0		0.19305849075317383	0.259845495223999
WhatsApp+96	WhatsApp	0		0.2093963623046875	0.6875636577606201
Etisalat+402	Etisalat	0		0.20670580863952637	0.669745922088623
American Express+270	American Express	1	American Express	0.1992800235748291	0.2042236328125
Navy Federal Credit Union+273	Navy Federal Credit Union	0		0.20012474060058594	0.21865415573120117
