folder	true_brand	phish_category	pred_brand	runtime_element_recognition	runtime_siamese
Instagram+257	Instagram	0		0.17374897003173828	0.15018272399902344
WeTransfer+80	WeTransfer	0		0.18196892738342285	0.6944079399108887
Blockchain+6	Blockchain	0		0.16203546524047852	0.22644877433776855
WhatsApp+366	WhatsApp	0		0.2031238079071045	0.473325252532959
Adobe+270	Adobe	0		0.17606353759765625	0.6784124374389648
Navy Federal Credit Union+155	Navy Federal Credit Union	0		0.1744987964630127	0.16891932487487793
Dropbox+276	Dropbox	1	AOL	0.16651368141174316	0.16073870658874512
Alaska USA Federal Credit Union+250	Alaska USA Federal Credit Union	0		0.21765589714050293	0.8736221790313721
Etisalat+427	Etisalat	0		0.18261313438415527	0.6197209358215332
IRS+320	IRS	1	AT&T	0.17741703987121582	0.3146800994873047
Scotiabank+222	Scotiabank	0		0.1944260597229004	0.5992920398712158
Blockchain+454	Blockchain	0		0.1750640869140625	0.08059287071228027
DocuSign+210	DocuSign	0		0.17828845977783203	0.15066909790039062
Steam+299	Steam	0		0.16593360900878906	0.5504245758056641
PayPal+348	PayPal	0		0.17342257499694824	0.36537933349609375
GoDaddy+235	GoDaddy	0		0.1884016990661621	0.15156269073486328
Orange+338	Orange	0		0.20058417320251465	0.2815895080566406
AT&T+346	AT&T	0		0.16193532943725586	0.14602041244506836
Spectrum+128	Spectrum	1	Spectrum	0.1660606861114502	0.15790057182312012
DocuSign+194	DocuSign	1	Square	0.20145630836486816	0.4777805805206299
Blockchain+65	Blockchain	1	Bet365	0.19364190101623535	0.40327930450439453
DocuSign+146	DocuSign	0		0.17807769775390625	0.0708012580871582
Adobe+72	Adobe	0		0.19215059280395508	0.5504746437072754
Facebook+254	Facebook	0		0.11479353904724121	0.07529377937316895
Banca Sella+111	Banca Sella	1	Apple	0.18633532524108887	0.04565024375915527
Navy Federal Credit Union+133	Navy Federal Credit Union	0		0.19507169723510742	0.1361384391784668
PostFinance+424	PostFinance	0		0.18585920333862305	0.14266514778137207
American Express+140	American Express	1	American Express	0.23777341842651367	0.04514431953430176
PayPal+354	PayPal	1	American Express	0.19079279899597168	0.041689395904541016
eBay+179	eBay	0		0.19214701652526855	0.2516312599182129
IRS+186	IRS	1	AT&T	0.16985797882080078	0.28402066230773926
Square+142	Square	1	Square	0.19096589088439941	0.04321789741516113
WhatsApp+96	WhatsApp	0		0.22194314002990723	0.7438373565673828
Etisalat+402	Etisalat	0		0.18748092651367188	0.6167137622833252
American Express+270	American Express	1	PostFinance	0.1960296630859375	0.6299049854278564
Navy Federal Credit Union+273	Navy Federal Credit Union	0		0.21208953857421875	0.23607993125915527
Rackspace+107	Rackspace	1	Rackspace	0.20782828330993652	0.047765493392944336
Standard Chartered Bank+295	Standard Chartered Bank	1	Blockchain	0.2505366802215576	0.8698503971099854
GoDaddy+341	GoDaddy	1	Spectrum	0.2689507007598877	0.7756235599517822
Banca Sella+408	Banca Sella	1	Apple	0.20712637901306152	0.04104781150817871
Bet365+239	Bet365	0		0.23123693466186523	0.5192453861236572
Scotiabank+174	Scotiabank	0		0.1817028522491455	0.7658987045288086
