folder	true_brand	phish_category	pred_brand	runtime_element_recognition	runtime_siamese
Outlook+2020-09-14-08`32`25	Microsoft	1	Microsoft	0.1891186237335205	0.08961606025695801
Chase Personal Banking+2020-09-14-12`50`12	Chase Personal Banking	1	Trade Me NZ	0.2012343406677246	0.3493010997772217
Netflix Inc.+2020-08-28-14`59`37	Netflix	0		0.21513104438781738	0.4792780876159668
Outlook+2020-09-13-23`47`25	Microsoft	1	Microsoft	0.2019636631011963	0.08542561531066895
DGI (French Tax Authority)+2020-09-17-13`21`51	DGI French Tax Authority	1	UniCredit Bank Aktiengesellschaft	0.17130398750305176	0.21032357215881348
Credit Agricole S.A.+2020-09-17-12`22`30	Credit Agricole S.A	1	SF Express Co	0.1903378963470459	0.0654904842376709
Daum+2020-05-22-22`46`19	Daum	1	Credit du Nord	0.17730355262756348	0.11553692817687988
Itau Unibanco S.A+2020-06-15-12`13`47	Itau Unibanco S.A	1	PostFinance	0.17017292976379395	0.04745125770568848
LinkedIn Corporation+2020-08-09-14`43`48	LinkedIn Corporation	1	Adobe	0.16956758499145508	0.045987844467163086
Bank of America+2020-06-28-16`15`04	Bank of America	1	Bank of America	0.1764998435974121	0.04945039749145508
PayPal Inc.+2020-07-12-11`24`34	PayPal	1	Chase Personal Banking	0.20068097114562988	0.07556462287902832
Banco do Brasil S.A.+2020-08-26-16`22`18	Banco do Brasil S.A	1	MWeb	0.17919588088989258	0.05628705024719238
PayPal Inc.+2019-07-30-19`06`08	PayPal	1	AOL	0.14368343353271484	0.03853940963745117
Netflix Inc.+2019-08-21-14`29`08	Netflix	1	Alibaba	0.16187763214111328	0.0478510856628418
PayPal Inc.+2020-05-30-09`09`42	PayPal	1	Simplii Financial	0.1700575351715088	0.0481109619140625
Office365+2020-05-16-05`45`28	Microsoft	1	1&1 Ionos	0.14502501487731934	0.034729719161987305
Office365+2020-08-18-12`39`52	Microsoft	1	Microsoft	0.22564172744750977	0.08539462089538574
Netflix Inc.+2020-07-01-13`54`54	Netflix	1	Netflix	0.2279665470123291	0.2857394218444824
Chase Personal Banking+2020-08-16-16`32`22	Chase Personal Banking	0		0.22412919998168945	0.4575514793395996
Dropbox, Inc.+2020-08-31-08`56`29	Dropbox	1	Bankia	0.16605758666992188	0.2056429386138916
Itau Unibanco S.A+2020-05-02-22`36`01	Itau Unibanco S.A	0		0.1857309341430664	0.36008620262145996
Match+2019-08-20-10`59`14	Match	1	Square	0.1475839614868164	0.03695225715637207
Outlook+2020-09-14-00`59`49	Microsoft	1	Microsoft	0.21782517433166504	0.09307193756103516
Dropbox, Inc.+2019-10-26-03`05`09	Dropbox	1	AutoScout24	0.15426921844482422	0.07009077072143555
Free (ISP)+2020-09-26-12`20`49	Free ISP	1	Vodafone	0.17322349548339844	0.1230781078338623
eBay Inc.+2020-09-05-12`59`46	eBay	1	Cembra Money Bank AG	0.1703798770904541	0.15851926803588867
Bank of America+2020-05-13-14`22`13	Bank of America	1	TPG Telecom	0.15841174125671387	0.05582785606384277
PayPal Inc.+2019-10-19-14`03`49	PayPal	1	BB&T Corporation	0.15346503257751465	0.08982276916503906
Chase Personal Banking+2020-07-07-20`30`50	Chase Personal Banking	1	NBT Bank	0.18373918533325195	0.06350994110107422
Office365+2020-08-28-15`24`10	Microsoft	1	Mastercard International	0.2065751552581787	0.05360889434814453
Alaska USA Federal Credit Union+2019-10-23-10`04`02	Alaska USA Federal Credit Union	1	Trade Me NZ	0.15184831619262695	0.1347503662109375
Outlook+2020-08-05-10`37`22	Microsoft	1	M & T Bank Coporation	0.17354059219360352	0.0467829704284668
Outlook+2020-09-14-09`39`04	Microsoft	1	Microsoft	0.2152233123779297	0.08709931373596191
Absa Group+2020-09-19-13`21`53	Absa Group	1	iiNet Limited	0.1815810203552246	0.0578608512878418
Outlook+2020-10-01-11`36`16	Microsoft	1	Microsoft	0.1780533790588379	0.15699291229248047
PayPal Inc.+2020-06-11-15`52`18	PayPal	1	AOL	0.17632532119750977	0.05072498321533203
eBay Inc.+2020-08-13-20`08`03	eBay	1	Zoopla	0.17654657363891602	0.05255842208862305
Apple Inc.+2019-10-26-04`34`48	Apple	1	Kiwibank Limited	0.14953041076660156	0.12404799461364746
Outlook+2020-09-14-11`51`52	Microsoft	1	Microsoft	0.21663594245910645	0.09259510040283203
Windward Islands Bank+2020-09-12-14`14`25	Windward Islands Bank	1	Banca Sella	0.18906521797180176	0.06903958320617676
Outlook+2020-10-01-13`30`41	Microsoft	1	Microsoft	0.21581792831420898	0.08717226982116699
PayPal Inc.+2020-07-20-15`30`55	PayPal	1	Simplii Financial	0.17027020454406738	0.04895949363708496
PayPal Inc.+2020-05-13-15`19`03	PayPal	1	PayPal	0.14635515213012695	0.03946828842163086
PayPal Inc.+2020-08-18-09`48`59	PayPal	1	Simplii Financial	0.17327117919921875	0.04894256591796875
PayPal Inc.+2019-08-21-11`13`51	PayPal	1	PayPal	0.14805102348327637	0.035607099533081055
Orange+2020-09-27-11`33`14	Orange	1	Simplii Financial	0.17780709266662598	0.054491519927978516
Three UK+2020-09-19-15`04`17	Three UK	1	Societe Generale	0.17074799537658691	0.2563776969909668
DHL Airways, Inc.+2019-07-29-07`11`28	DHL Airways	0		0.1550896167755127	0.3517932891845703
Chase Personal Banking+2020-07-09-10`27`21	Chase Personal Banking	1	Trade Me NZ	0.19867706298828125	0.28528690338134766
Amazon.com Inc.+2020-07-07-16`53`36	Amazon	1	youtube	0.18192052841186523	0.16883468627929688
Absa Group+2020-08-30-17`40`51	Absa Group	1	International Card Services B.V	0.18653512001037598	0.055883169174194336
Amazon.com Inc.+2020-08-30-16`44`44	Amazon	1	Telekom Brunei	0.1750953197479248	0.17394399642944336
Yahoo! Inc+2019-09-02-13`12`58	Yahoo!	1	AT&T	0.15912675857543945	0.04236888885498047
eBay Inc.+2020-09-10-12`33`19	eBay	1	Bank of New Zealand	0.1713848114013672	0.04548525810241699
Instagram+2020-08-17-12`47`14	Instagram	1	youtube	0.1803898811340332	0.2704429626464844
WeTransfer+2020-05-24-14`02`16	WeTransfer	1	Twitter, Inc.	0.2186291217803955	0.09778523445129395
Key Bank+2020-05-23-14`26`49	Key Bank	1	Bank of America	0.17855000495910645	0.058652400970458984
Amazon.com Inc.+2020-09-11-11`59`07	Amazon	1	Telekom Brunei	0.16980433464050293	0.1651473045349121
PayPal Inc.+2019-08-05-10`36`16	PayPal	1	Spotify	0.18831491470336914	0.03491950035095215
Outlook+2020-09-13-20`55`45	Microsoft	1	Microsoft	0.24446344375610352	0.09186077117919922
Free (ISP)+2019-10-19-15`52`48	Free ISP	1	ATB Financial	0.18417954444885254	0.17548203468322754
Bank of Montreal+2020-09-10-16`11`50	Bank of Montreal	1	Banco de Chile	0.21918368339538574	0.05109858512878418
ADP, LLC+2019-08-21-13`38`18	ADP	1	ADP	0.1714482307434082	0.052362918853759766
Office365+2020-05-27-10`31`59	Microsoft	1	Luno	0.17475509643554688	0.05271100997924805
Amazon.com Inc.+2020-09-16-11`09`11	Amazon	1	TradeKey	0.16965103149414062	0.05434298515319824
Credit Agricole S.A.+2020-09-04-14`30`51	Credit Agricole S.A	1	SF Express Co	0.1929941177368164	0.06799745559692383
Chase Personal Banking+2020-08-28-14`16`52	Chase Personal Banking	1	Chase Personal Banking	0.18970274925231934	0.06490707397460938
PayPal Inc.+2020-07-01-12`16`40	PayPal	1	Simplii Financial	0.16997694969177246	0.04935169219970703
IRS+2020-05-24-10`20`07	IRS	1	adidas	0.1895313262939453	0.05650496482849121
Outlook+2020-09-13-23`55`06	Microsoft	1	Microsoft	0.2149658203125	0.09240341186523438
Chase Personal Banking+2020-09-19-16`07`20	Chase Personal Banking	1	Chase Personal Banking	0.20926547050476074	0.05305194854736328
Chase Personal Banking+2020-07-08-13`29`36	Chase Personal Banking	1	ATB Financial	0.21982502937316895	0.09904909133911133
Microsoft OneDrive+2020-09-15-10`47`39	Microsoft	1	Bank of New Zealand	0.2023470401763916	0.05792546272277832
PayPal Inc.+2019-08-05-10`37`47	PayPal	1	PayPal	0.1470777988433838	0.08044672012329102
Office365+2019-10-23-08`47`19	Microsoft	1	Microsoft	0.2164297103881836	0.05629301071166992
Webmail Providers+2020-08-21-10`03`57	Webmail Provider	0		0.17246484756469727	0.26570701599121094
Webmail Providers+2020-07-19-14`26`59	Webmail Provider	1	Simplii Financial	0.1584937572479248	0.053423404693603516
Facebook, Inc.+2020-08-30-16`24`34	Facebook	1	EarthLink	0.1735079288482666	0.052522897720336914
Outlook+2020-05-18-15`35`18	Microsoft	1	PostFinance	0.15119433403015137	0.04149293899536133
Office365+2020-05-25-10`01`28	Microsoft	1	American Express	0.2104499340057373	0.08397841453552246
Apple Inc.+2020-05-25-01`21`56	Apple	1	Charities Aid Foundation	0.19260573387145996	0.165055513381958
PayPal Inc.+2020-09-16-14`20`04	PayPal	1	American Express	0.214705228805542	0.05504798889160156
Bank of America+2020-07-29-12`21`20	Bank of America	1	SOCIETE FRANCAISE DU RADIOTELEPHONE	0.2025444507598877	0.05033302307128906
DHL Airways, Inc.+2019-07-29-07`38`02	DHL Airways	0		0.1550133228302002	0.4128115177154541
Office365+2020-05-30-11`42`36	Microsoft	1	Microsoft	0.18771862983703613	0.08613801002502441
Webmail Providers+2020-06-26-14`15`17	Webmail Provider	0		0.16939210891723633	0.05169367790222168
Orange+2020-09-10-15`51`48	Orange	1	SF Express Co	0.17512130737304688	0.05762338638305664
Outlook+2020-09-13-19`47`48	Microsoft	1	Microsoft	0.21211552619934082	0.09055495262145996
Amazon.com Inc.+2020-05-30-11`53`26	Amazon	1	Telekom Brunei	0.17333555221557617	0.1448993682861328
Outlook+2020-09-13-19`52`06	Microsoft	1	Microsoft	0.2162466049194336	0.09237194061279297
Adobe Inc.+2020-05-04-12`17`15	Adobe	1	Vodafone	0.1648554801940918	0.043888092041015625
DGI (French Tax Authority)+2020-08-25-13`20`22	DGI French Tax Authority	1	PayPal	0.1751556396484375	0.05175614356994629
Raiffeisen Bank S.A.+2020-08-05-09`54`28	Raiffeisen Bank S.A.	1	Banco do Brasil S.A	0.18312764167785645	0.05186963081359863
Instagram+2020-05-02-13`21`33	Instagram	1	SOCIETE FRANCAISE DU RADIOTELEPHONE	0.14378714561462402	0.04162263870239258
Amazon.com Inc.+2020-05-01-17`12`03	Amazon	1	NatWest Personal Banking	0.19387173652648926	0.03779292106628418
PayPal Inc.+2020-05-25-13`36`03	PayPal	1	Mastercard International	0.17433476448059082	0.05027270317077637
Credit Agricole S.A.+2020-09-17-11`28`50	Credit Agricole S.A	1	SF Express Co	0.19394588470458984	0.06600141525268555
PayPal Inc.+2020-07-19-13`34`56	PayPal	1	Simplii Financial	0.17404580116271973	0.049607276916503906
Microsoft OneDrive+2019-08-07-15`49`09	Microsoft	0		0.18295979499816895	0.4821493625640869
Outlook+2020-09-14-04`57`19	Microsoft	1	Microsoft	0.18905115127563477	0.08820462226867676
Frontier Communications+2020-08-11-12`49`17	Frontier Communications	1	LinkedIn Corporation	0.21609258651733398	0.052173614501953125
WeTransfer+2020-05-02-12`51`39	WeTransfer	0		0.19454669952392578	0.30658507347106934
Bank of America+2019-10-19-00`31`19	Bank of America	1	American Express	0.13287758827209473	0.0463869571685791
Steam+2020-09-08-10`48`59	Steam	1	Desjardins	0.21747636795043945	0.5015778541564941
Societe Generale+2019-10-19-23`43`12	Societe Generale	1	Verizon Wireless	0.122283935546875	0.03254055976867676
PayPal Inc.+2020-05-24-18`37`18	PayPal	1	Simplii Financial	0.1701970100402832	0.049483537673950195
M & T Bank Coporation+2020-08-09-14`05`48	M & T Bank Coporation	1	HSBC Bank	0.19322872161865234	0.18605518341064453
LinkedIn Corporation+2020-05-13-10`50`00	LinkedIn Corporation	1	Digital Federal Credit Union	0.1500716209411621	0.15721964836120605
Office365+2020-05-23-23`28`17	Microsoft	0		0.20777416229248047	0.42743372917175293
PayPal Inc.+2020-07-07-11`46`32	PayPal	1	Simplii Financial	0.16431164741516113	0.04904603958129883
Outlook+2020-09-14-04`05`15	Microsoft	1	Microsoft	0.21761679649353027	0.08805108070373535
PayPal Inc.+2020-06-14-00`08`35	PayPal	1	anadolubank	0.1746995449066162	0.04881453514099121
Microsoft OneDrive+2020-05-02-08`40`03	Microsoft	1	Swisscom IT Services AG	0.15345478057861328	0.03861594200134277
PayPal Inc.+2020-05-19-12`25`42	PayPal	0		0.14745831489562988	0.03995704650878906
LinkedIn Corporation+2020-07-19-13`43`07	LinkedIn Corporation	1	LinkedIn Corporation	0.16858649253845215	0.046518564224243164
PayPal Inc.+2019-10-26-03`40`28	PayPal	1	LinkedIn Corporation	0.1504514217376709	0.037687063217163086
Outlook+2020-09-14-01`07`45	Microsoft	1	Microsoft	0.21561741828918457	0.08722972869873047
Office365+2020-09-19-12`34`35	Microsoft	1	Mastercard International	0.21038413047790527	0.24787640571594238
Google Inc.+2020-05-30-11`08`27	Google	1	Universo Online	0.17618775367736816	0.05065798759460449
IRS+2020-05-14-17`12`11	IRS	1	Monmouth Telecom	0.17973661422729492	0.04621744155883789
M & T Bank Coporation+2020-08-11-14`36`16	M & T Bank Coporation	1	First Investment Bank	0.17157506942749023	0.2603485584259033
LinkedIn Corporation+2020-07-10-12`04`30	LinkedIn Corporation	1	Adobe	0.2165231704711914	0.45531129837036133
PayPal Inc.+2020-06-06-10`25`55	PayPal	1	1&1 Ionos	0.16204524040222168	0.04949522018432617
Daum+2020-05-27-13`21`24	Daum	1	Spark New Zealand	0.17692875862121582	0.1280500888824463
EE Limited+2020-09-27-14`03`00	EE Limited	1	MWeb	0.1921217441558838	0.04997134208679199
Itau Unibanco S.A+2020-05-25-13`43`28	Itau Unibanco S.A	0		0.171400785446167	0.21829843521118164
Alibaba+2020-08-05-09`22`17	Alibaba	1	Alibaba	0.21341204643249512	0.0661613941192627
PayPal Inc.+2020-07-04-15`20`47	PayPal	1	Simplii Financial	0.17322492599487305	0.04948997497558594
MWeb+2020-07-08-16`50`31	MWeb	1	Americanas.com S	0.1732923984527588	0.12581801414489746
Adobe Inc.+2020-08-21-10`47`57	Adobe	0		0.2013566493988037	0.34668660163879395
Outlook+2020-09-13-14`39`16	Microsoft	1	Microsoft	0.2443852424621582	0.09131741523742676
Itau Unibanco S.A+2020-05-06-11`21`21	Itau Unibanco S.A	1	Orange	0.17249321937561035	0.15632224082946777
1&1 Ionos+2020-08-09-11`43`47	1&1 Ionos	0		0.18990302085876465	0.35010218620300293
BT Group plc+2020-06-24-22`50`32	BT Group plc	1	TPG Telecom	0.17013788223266602	0.056989192962646484
SNS Bank N.V.+2019-08-21-13`19`09	SNS Bank N.V	1	BT Group plc	0.1438584327697754	0.04714655876159668
Apple Inc.+2020-07-28-21`01`09	Apple	1	Rackspace	0.20355772972106934	0.07151985168457031
IRS+2020-05-02-13`08`51	IRS	1	Key Bank	0.15529346466064453	0.0403139591217041
Ooredoo QSC+2020-06-22-14`35`56	Ooredoo QSC	1	Bank of Scotland	0.16857528686523438	0.22952890396118164
Microsoft OneDrive+2019-08-01-13`45`55	Microsoft	0		0.1783761978149414	0.42896199226379395
Adobe Inc.+2020-05-10-21`34`54	Adobe	1	1&1 Ionos	0.14693832397460938	0.04994487762451172
Outlook+2020-09-14-06`32`36	Microsoft	1	Microsoft	0.21491432189941406	0.08655619621276855
Outlook+2020-09-14-05`41`09	Microsoft	1	Microsoft	0.22806525230407715	0.09053969383239746
Alibaba+2020-08-22-11`31`17	Alibaba	0		0.19019079208374023	0.30076146125793457
Amazon.com Inc.+2020-09-10-13`49`27	Amazon	1	Telekom Brunei	0.18085479736328125	0.1463160514831543
IRS+2020-08-18-10`09`33	IRS	1	Trade Me NZ	0.18636131286621094	0.059762001037597656
PayPal Inc.+2020-06-18-14`55`17	PayPal	1	Dropbox	0.17096853256225586	0.05327558517456055
PayPal Inc.+2020-05-31-11`44`16	PayPal	1	SunTrust Bank	0.19652867317199707	0.06487083435058594
Chase Personal Banking+2019-07-31-12`39`16	Chase Personal Banking	1	TPG Telecom	0.1572120189666748	0.15106654167175293
Dropbox, Inc.+2019-08-05-09`15`51	Dropbox	1	Spark New Zealand	0.16168522834777832	0.050505638122558594
Outlook+2020-05-01-16`20`23	Microsoft	1	ATB Financial	0.14863300323486328	0.03687024116516113
Outlook+2020-10-01-13`41`47	Microsoft	1	Microsoft	0.21665072441101074	0.08920025825500488
PayPal Inc.+2020-05-30-14`39`57	PayPal	1	Simplii Financial	0.21219468116760254	0.050110578536987305
Societe Generale+2020-08-17-13`23`31	Societe Generale	1	ICICI Bank Limited	0.17583918571472168	0.05645561218261719
Microsoft OneDrive+2020-05-02-14`52`18	Microsoft	1	Twitter, Inc.	0.16452622413635254	0.059735774993896484
Outlook+2020-09-13-13`58`51	Microsoft	1	Microsoft	0.21454358100891113	0.08803391456604004
Outlook+2020-09-13-17`42`37	Microsoft	1	Microsoft	0.21509170532226562	0.08679389953613281
Google Inc.+2020-09-27-11`08`13	Google	1	NedBank Limited	0.1795177459716797	0.06595063209533691
Facebook, Inc.+2020-09-30-11`17`06	Facebook	1	LinkedIn Corporation	0.17113876342773438	0.0501103401184082
Itau Unibanco S.A+2019-09-02-14`38`00	Itau Unibanco S.A	1	BB&T Corporation	0.18887925148010254	0.16531944274902344
PayPal Inc.+2020-06-14-09`30`03	PayPal	1	Simplii Financial	0.1732637882232666	0.049324750900268555
IRS+2020-05-15-20`49`45	IRS	1	Amazon	0.15361523628234863	0.1658918857574463
Office365+2020-09-16-15`19`30	Microsoft	1	The Vanguard Group	0.21015501022338867	0.2495121955871582
Outlook+2020-09-13-12`56`42	Microsoft	1	Microsoft	0.21670961380004883	0.08704829216003418
eBay Inc.+2020-08-09-00`17`53	eBay	1	AutoScout24	0.17851471900939941	0.05389237403869629
Microsoft OneDrive+2019-08-05-11`00`46	Microsoft	1	Neteller	0.14830493927001953	0.04493522644042969
PayPal Inc.+2020-05-25-10`16`42	PayPal	1	Simplii Financial	0.17756032943725586	0.05030322074890137
Outlook+2020-09-13-18`55`39	Microsoft	1	Microsoft	0.21617841720581055	0.08675026893615723
Outlook+2020-08-28-14`01`14	Microsoft	1	Banco de Chile	0.1814255714416504	0.05466794967651367
PayPal Inc.+2019-08-22-14`32`17	PayPal	1	Uber	0.1440887451171875	0.03678464889526367
Google Inc.+2020-09-27-14`22`52	Google	1	Daum	0.2128145694732666	0.1725614070892334
Microsoft OneDrive+2020-05-21-12`37`15	Microsoft	0		0.17683768272399902	0.4517056941986084
Adobe Inc.+2020-05-02-10`00`22	Adobe	1	Vodafone	0.15344691276550293	0.04343533515930176
Made-In-China+2020-06-13-23`16`55	Made-In-China	1	Bankia	0.18326663970947266	0.17409563064575195
Apple Inc.+2020-09-26-12`41`39	Apple	1	Microsoft	0.20677947998046875	0.0759439468383789
LinkedIn Corporation+2020-05-10-22`17`33	LinkedIn Corporation	1	Digital Federal Credit Union	0.14735794067382812	0.12200474739074707
PayPal Inc.+2020-06-13-19`53`03	PayPal	1	Canadian Imperial Bank of Commerce	0.16783905029296875	0.04971647262573242
Office365+2020-09-09-13`35`53	Microsoft	1	Desjardins	0.16900110244750977	0.11762094497680664
Amazon.com Inc.+2020-08-14-13`38`37	Amazon	1	M & T Bank Coporation	0.17310309410095215	0.2027890682220459
PayPal Inc.+2019-08-20-13`10`17	PayPal	1	Scotiabank	0.16115522384643555	0.03893923759460449
LinkedIn Corporation+2020-05-15-00`21`01	LinkedIn Corporation	1	Digital Federal Credit Union	0.1472938060760498	0.1821897029876709
Adobe Inc.+2020-08-09-11`36`08	Adobe	1	UniCredit Bank Aktiengesellschaft	0.21482586860656738	0.0753028392791748
Outlook+2020-09-14-09`05`06	Microsoft	1	Microsoft	0.21157526969909668	0.09370756149291992
SendGrid+2020-09-12-14`09`12	SendGrid	1	Swisscom IT Services AG	0.17992067337036133	0.052039146423339844
Outlook+2020-09-14-02`56`01	Microsoft	1	Microsoft	0.2130413055419922	0.09098005294799805
Giffgaff+2020-09-23-02`48`25	Giffgaff	1	POF	0.20751380920410156	0.05168747901916504
DGI (French Tax Authority)+2020-05-13-15`37`37	DGI French Tax Authority	1	Banco de Chile	0.1903386116027832	0.039035797119140625
Giffgaff+2020-05-23-19`02`25	Giffgaff	1	Adobe	0.21064257621765137	0.05215263366699219
Apple Inc.+2020-07-11-18`57`01	Apple	1	adidas	0.2307722568511963	0.07228398323059082
PayPal Inc.+2020-06-10-14`35`43	PayPal	1	Mastercard International	0.1767716407775879	0.04826807975769043
Outlook+2020-05-02-17`01`37	Microsoft	1	Mobile.de	0.1445307731628418	0.039818763732910156
PayPal Inc.+2020-08-14-11`54`00	PayPal	1	Simplii Financial	0.17376279830932617	0.05126452445983887
1&1 Ionos+2020-06-20-15`00`35	1&1 Ionos	1	Luno	0.1782529354095459	0.0561215877532959
Wells Fargo & Company+2020-08-20-11`22`08	Wells Fargo & Company	1	Citrix ShareFile	0.20212721824645996	0.07506203651428223
PayPal Inc.+2020-08-17-11`30`58	PayPal	1	Simplii Financial	0.17292237281799316	0.051422119140625
Match+2019-08-05-14`24`36	Match	1	Square	0.14829754829406738	0.038182735443115234
Government of Turkey+2020-08-09-14`16`00	Government of Turkey	1	Americanas.com S	0.18202781677246094	0.04749274253845215
