folder	true_brand	phish_category	pred_brand	runtime_element_recognition	runtime_siamese
DGI (French Tax Authority)+2019-07-28-19`32`10	DGI French Tax Authority	1	DGI French Tax Authority	0.09502625465393066	0.04110312461853027
Bank of America+2020-08-30-15`01`24	Bank of America	1	Bank of America	0.17379426956176758	0.05564451217651367
Orange+2020-09-02-11`08`40	Orange	1	Orange	0.11483502388000488	0.07571220397949219
Outlook+2020-08-29-12`56`47	Microsoft	1	Microsoft	0.16473698616027832	0.0680856704711914
PayPal Inc.+2020-05-27-11`27`03	PayPal	1	PayPal	0.10613393783569336	0.04017281532287598
Outlook+2020-09-13-20`53`39	Microsoft	1	Microsoft	0.21554303169250488	0.07981753349304199
Apple Inc.+2019-09-03-15`15`09	Apple	0		0.10721063613891602	0.37164902687072754
Chase Personal Banking+2020-08-25-15`45`04	Chase Personal Banking	1	Chase Personal Banking	0.11315679550170898	0.06647443771362305
Office365+2020-08-11-10`12`43	Microsoft	1	Microsoft	0.18047809600830078	0.09184837341308594
Office365+2020-08-10-11`43`59	Microsoft	1	Microsoft	0.1387465000152588	0.0658409595489502
Canadian Imperial Bank of Commerce+2019-08-01-10`39`17	Canadian Imperial Bank of Commerce	1	Canadian Imperial Bank of Commerce	0.09956955909729004	0.03307318687438965
Office365+2020-09-09-12`54`24	Microsoft	0		0.15494608879089355	0.580120325088501
Outlook+2020-08-25-14`46`12	Microsoft	1	Microsoft	0.12170004844665527	0.0688936710357666
PayPal Inc.+2020-07-17-16`30`37	PayPal	1	PayPal	0.12540555000305176	0.04900646209716797
Chase Personal Banking+2020-05-02-19`34`16	Chase Personal Banking	1	Chase Personal Banking	0.1201028823852539	0.050530433654785156
Wells Fargo & Company+2020-05-14-09`44`53	Wells Fargo & Company	1	Wells Fargo & Company	0.09987664222717285	0.045472145080566406
Outlook+2020-09-13-18`33`52	Microsoft	1	Microsoft	0.14682745933532715	0.08930325508117676
Absa Group+2020-08-14-13`19`02	Absa Group	1	Absa Group	0.11731767654418945	0.059159278869628906
PayPal Inc.+2020-07-18-10`23`34	PayPal	1	PayPal	0.12387394905090332	0.08374881744384766
IRS+2019-10-18-05`29`47	IRS	1	IRS	0.09545350074768066	0.042664289474487305
Office365+2019-07-30-17`22`24	Microsoft	1	Microsoft	0.11755156517028809	0.04916954040527344
Outlook+2020-09-13-14`38`29	Microsoft	1	Microsoft	0.1669762134552002	0.08446860313415527
Office365+2020-09-06-11`24`51	Microsoft	1	Microsoft	0.11724185943603516	0.07360529899597168
PayPal Inc.+2020-07-04-10`46`04	PayPal	1	PayPal	0.11167430877685547	0.04217052459716797
Wells Fargo & Company+2020-05-25-05`50`16	Wells Fargo & Company	1	Wells Fargo & Company	0.20975923538208008	0.11165881156921387
