folder	true_brand	phish_category	pred_brand	runtime_element_recognition	runtime_siamese
Outlook+2020-09-14-08`32`25	Microsoft	1	Microsoft	0.25871706008911133	0.45867347717285156
Chase Personal Banking+2020-09-14-12`50`12	Chase Personal Banking	0		0.2512199878692627	0.33792901039123535
Netflix Inc.+2020-08-28-14`59`37	Netflix	0		0.22275567054748535	0.702561616897583
Outlook+2020-09-13-23`47`25	Microsoft	1	Microsoft	0.22359704971313477	0.455430269241333
DGI (French Tax Authority)+2020-09-17-13`21`51	DGI French Tax Authority	0		0.2234654426574707	0.05433535575866699
Credit Agricole S.A.+2020-09-17-12`22`30	Credit Agricole S.A	1	Credit Agricole S.A	0.24274230003356934	0.39989471435546875
Daum+2020-05-22-22`46`19	Daum	1	Google	0.2263166904449463	0.044985055923461914
Itau Unibanco S.A+2020-06-15-12`13`47	Itau Unibanco S.A	1	Mobile.de	0.23073220252990723	0.06779623031616211
LinkedIn Corporation+2020-08-09-14`43`48	LinkedIn Corporation	1	LinkedIn Corporation	0.22373557090759277	0.04995894432067871
Bank of America+2020-06-28-16`15`04	Bank of America	1	Ooredoo QSC	0.23759007453918457	0.18998146057128906
PayPal Inc.+2020-07-12-11`24`34	PayPal	0		0.2586517333984375	0.4326972961425781
Banco do Brasil S.A.+2020-08-26-16`22`18	Banco do Brasil S.A	0		0.19790029525756836	0.21402359008789062
PayPal Inc.+2019-07-30-19`06`08	PayPal	1	ATB Financial	0.16685819625854492	0.030409574508666992
Netflix Inc.+2019-08-21-14`29`08	Netflix	1	DGI French Tax Authority	0.1954054832458496	0.16727066040039062
PayPal Inc.+2020-05-30-09`09`42	PayPal	0		0.2143235206604004	0.0911417007446289
Office365+2020-05-16-05`45`28	Microsoft	1	Microsoft	0.16626596450805664	0.029328346252441406
Office365+2020-08-18-12`39`52	Microsoft	0		0.2542998790740967	0.5179054737091064
Netflix Inc.+2020-07-01-13`54`54	Netflix	0		0.23218679428100586	0.20313668251037598
Chase Personal Banking+2020-08-16-16`32`22	Chase Personal Banking	0		0.24078059196472168	0.4989359378814697
Dropbox, Inc.+2020-08-31-08`56`29	Dropbox	0		0.21083974838256836	0.15889239311218262
Itau Unibanco S.A+2020-05-02-22`36`01	Itau Unibanco S.A	0		0.16903185844421387	0.31382322311401367
Match+2019-08-20-10`59`14	Match	1	Chase Personal Banking	0.16765379905700684	0.07587122917175293
Outlook+2020-09-14-00`59`49	Microsoft	1	Microsoft	0.2546405792236328	0.45514345169067383
Dropbox, Inc.+2019-10-26-03`05`09	Dropbox	0		0.18087434768676758	0.1477489471435547
Free (ISP)+2020-09-26-12`20`49	Free ISP	1	UBS AG	0.20600008964538574	0.05014801025390625
eBay Inc.+2020-09-05-12`59`46	eBay	0		0.22123265266418457	0.21406292915344238
Bank of America+2020-05-13-14`22`13	Bank of America	1	Bank of America	0.20003318786621094	0.06419157981872559
PayPal Inc.+2019-10-19-14`03`49	PayPal	1	First Investment Bank	0.18723034858703613	0.03134632110595703
