folder	true_brand	phish_category	pred_brand	runtime_element_recognition	runtime_siamese
Outlook+2020-09-14-08`32`25	Microsoft	0		0.24420571327209473	0.8670070171356201
Chase Personal Banking+2020-09-14-12`50`12	Chase Personal Banking	0		0.23135137557983398	0.3678708076477051
Netflix Inc.+2020-08-28-14`59`37	Netflix	0		0.22574377059936523	0.9285025596618652
Outlook+2020-09-13-23`47`25	Microsoft	0		0.21399259567260742	0.8758306503295898
DGI (French Tax Authority)+2020-09-17-13`21`51	DGI French Tax Authority	0		0.21016788482666016	0.1272437572479248
Credit Agricole S.A.+2020-09-17-12`22`30	Credit Agricole S.A	1	Credit Agricole S.A	0.2224268913269043	0.44699764251708984
Daum+2020-05-22-22`46`19	Daum	0		0.22226858139038086	0.1505894660949707
Itau Unibanco S.A+2020-06-15-12`13`47	Itau Unibanco S.A	0		0.20100951194763184	0.1456596851348877
LinkedIn Corporation+2020-08-09-14`43`48	LinkedIn Corporation	1	LinkedIn Corporation	0.196089506149292	0.05399131774902344
Bank of America+2020-06-28-16`15`04	Bank of America	0		0.237900972366333	0.34372472763061523
PayPal Inc.+2020-07-12-11`24`34	PayPal	0		0.2258152961730957	0.6340546607971191
Banco do Brasil S.A.+2020-08-26-16`22`18	Banco do Brasil S.A	0		0.19758343696594238	0.27001500129699707
PayPal Inc.+2019-07-30-19`06`08	PayPal	0		0.17191624641418457	0.20387959480285645
Netflix Inc.+2019-08-21-14`29`08	Netflix	0		0.16767525672912598	0.2182157039642334
PayPal Inc.+2020-05-30-09`09`42	PayPal	0		0.19708704948425293	0.09726333618164062
Office365+2020-05-16-05`45`28	Microsoft	0		0.16604137420654297	0.14629149436950684
Office365+2020-08-18-12`39`52	Microsoft	0		0.22473645210266113	0.639923095703125
Netflix Inc.+2020-07-01-13`54`54	Netflix	0		0.2526540756225586	0.25280022621154785
Chase Personal Banking+2020-08-16-16`32`22	Chase Personal Banking	0		0.2859954833984375	0.9071505069732666
Dropbox, Inc.+2020-08-31-08`56`29	Dropbox	0		0.19815921783447266	0.16242265701293945
Itau Unibanco S.A+2020-05-02-22`36`01	Itau Unibanco S.A	0		0.17230463027954102	0.3467857837677002
Match+2019-08-20-10`59`14	Match	1	Chase Personal Banking	0.16898417472839355	0.2307276725769043
Outlook+2020-09-14-00`59`49	Microsoft	0		0.2737767696380615	0.9714901447296143
Dropbox, Inc.+2019-10-26-03`05`09	Dropbox	0		0.15739059448242188	0.15052056312561035
Free (ISP)+2020-09-26-12`20`49	Free ISP	0		0.20696210861206055	0.2912759780883789
eBay Inc.+2020-09-05-12`59`46	eBay	0		0.1886153221130371	0.3358469009399414
Bank of America+2020-05-13-14`22`13	Bank of America	1	Discover	0.20384502410888672	0.4401113986968994
