folder	true_brand	phish_category	pred_brand	runtime_element_recognition	runtime_siamese
Outlook+2020-09-14-08`32`25	Microsoft	0		0.29271793365478516	1.0798413753509521
Chase Personal Banking+2020-09-14-12`50`12	Chase Personal Banking	1	Credit Suisse AG	0.26059436798095703	0.7073204517364502
Netflix Inc.+2020-08-28-14`59`37	Netflix	0		0.291872501373291	1.2078893184661865
Outlook+2020-09-13-23`47`25	Microsoft	0		0.308394193649292	1.1260712146759033
DGI (French Tax Authority)+2020-09-17-13`21`51	DGI French Tax Authority	1	DGI French Tax Authority	0.20641016960144043	0.25719404220581055
Credit Agricole S.A.+2020-09-17-12`22`30	Credit Agricole S.A	1	Credit Agricole S.A	0.3230462074279785	0.5618829727172852
Daum+2020-05-22-22`46`19	Daum	0		0.2447810173034668	0.1974935531616211
Itau Unibanco S.A+2020-06-15-12`13`47	Itau Unibanco S.A	0		0.2917807102203369	0.22797250747680664
LinkedIn Corporation+2020-08-09-14`43`48	LinkedIn Corporation	1	LinkedIn Corporation	0.20598411560058594	0.058458566665649414
Bank of America+2020-06-28-16`15`04	Bank of America	1	Bank of America	0.2648434638977051	0.2519805431365967
PayPal Inc.+2020-07-12-11`24`34	PayPal	0		0.31099367141723633	0.6705803871154785
Banco do Brasil S.A.+2020-08-26-16`22`18	Banco do Brasil S.A	0		0.19861316680908203	0.4717724323272705
PayPal Inc.+2019-07-30-19`06`08	PayPal	0		0.1811535358428955	0.09936094284057617
Netflix Inc.+2019-08-21-14`29`08	Netflix	1	SF Express Co	0.18264102935791016	0.6180336475372314
PayPal Inc.+2020-05-30-09`09`42	PayPal	0		0.2219829559326172	0.12205696105957031
Office365+2020-05-16-05`45`28	Microsoft	0		0.15877103805541992	0.14930486679077148
Office365+2020-08-18-12`39`52	Microsoft	0		0.23440122604370117	0.7784476280212402
Netflix Inc.+2020-07-01-13`54`54	Netflix	0		0.24109387397766113	0.20751500129699707
Chase Personal Banking+2020-08-16-16`32`22	Chase Personal Banking	1	anadolubank	0.2735178470611572	1.1137313842773438
Dropbox, Inc.+2020-08-31-08`56`29	Dropbox	0		0.25209498405456543	0.1381397247314453
Itau Unibanco S.A+2020-05-02-22`36`01	Itau Unibanco S.A	0		0.17815446853637695	0.3914759159088135
Match+2019-08-20-10`59`14	Match	1	Chase Personal Banking	0.165358304977417	0.19910717010498047
Outlook+2020-09-14-00`59`49	Microsoft	0		0.2920694351196289	1.0458636283874512
Dropbox, Inc.+2019-10-26-03`05`09	Dropbox	0		0.1603693962097168	0.1537950038909912
Free (ISP)+2020-09-26-12`20`49	Free ISP	0		0.2680637836456299	0.34861183166503906
eBay Inc.+2020-09-05-12`59`46	eBay	0		0.1994462013244629	0.3874802589416504
Bank of America+2020-05-13-14`22`13	Bank of America	1	Discover	0.2436811923980713	0.3342249393463135
PayPal Inc.+2019-10-19-14`03`49	PayPal	1	First Investment Bank	0.1935579776763916	0.07072949409484863
Chase Personal Banking+2020-07-07-20`30`50	Chase Personal Banking	1	NBT Bank	0.2379317283630371	0.05682373046875
Office365+2020-08-28-15`24`10	Microsoft	0		0.2381291389465332	0.2565922737121582
Alaska USA Federal Credit Union+2019-10-23-10`04`02	Alaska USA Federal Credit Union	1	Bank of Scotland	0.17569398880004883	0.20002412796020508
Outlook+2020-08-05-10`37`22	Microsoft	1	DocuSign	0.23168158531188965	0.4512941837310791
Outlook+2020-09-14-09`39`04	Microsoft	0		0.25692296028137207	0.9630153179168701
Absa Group+2020-09-19-13`21`53	Absa Group	0		0.26771044731140137	0.7972207069396973
Outlook+2020-10-01-11`36`16	Microsoft	0		0.18616008758544922	0.13099455833435059
PayPal Inc.+2020-06-11-15`52`18	PayPal	0		0.21005940437316895	
eBay Inc.+2020-08-13-20`08`03	eBay	1	Google	0.2614729404449463	0.09113430976867676
Apple Inc.+2019-10-26-04`34`48	Apple	1	1&1 Ionos	0.19853854179382324	0.4139118194580078
Outlook+2020-09-14-11`51`52	Microsoft	0		0.2592134475708008	1.227236270904541
Windward Islands Bank+2020-09-12-14`14`25	Windward Islands Bank	0		0.24468469619750977	0.7496523857116699
Outlook+2020-10-01-13`30`41	Microsoft	0		0.2511138916015625	0.9404137134552002
PayPal Inc.+2020-07-20-15`30`55	PayPal	0		0.21394658088684082	0.15068554878234863
PayPal Inc.+2020-05-13-15`19`03	PayPal	1	TalkTalk Communications	0.15929174423217773	0.10172080993652344
PayPal Inc.+2020-08-18-09`48`59	PayPal	0		0.21590328216552734	0.22702884674072266
PayPal Inc.+2019-08-21-11`13`51	PayPal	0		0.1560823917388916	0.09289216995239258
Orange+2020-09-27-11`33`14	Orange	0		0.20386338233947754	0.6018362045288086
Three UK+2020-09-19-15`04`17	Three UK	1	Rackspace	0.2476801872253418	0.9471099376678467
DHL Airways, Inc.+2019-07-29-07`11`28	DHL Airways	0		0.19658708572387695	0.7199387550354004
Chase Personal Banking+2020-07-09-10`27`21	Chase Personal Banking	0		0.2356257438659668	0.3595280647277832
Amazon.com Inc.+2020-07-07-16`53`36	Amazon	0		0.21128273010253906	0.43433237075805664
Absa Group+2020-08-30-17`40`51	Absa Group	0		0.21196770668029785	0.4768540859222412
Amazon.com Inc.+2020-08-30-16`44`44	Amazon	1	Amazon	0.1873314380645752	0.07196927070617676
Yahoo! Inc+2019-09-02-13`12`58	Yahoo!	1	Square	0.2105865478515625	1.1166701316833496
eBay Inc.+2020-09-10-12`33`19	eBay	0		0.22330069541931152	0.15070629119873047
Instagram+2020-08-17-12`47`14	Instagram	0		0.24869370460510254	0.5882644653320312
WeTransfer+2020-05-24-14`02`16	WeTransfer	1	Square	0.3130934238433838	1.259192943572998
Key Bank+2020-05-23-14`26`49	Key Bank	1	Key Bank	0.2313532829284668	0.20664072036743164
Amazon.com Inc.+2020-09-11-11`59`07	Amazon	1	Amazon	0.22127485275268555	0.05489063262939453
PayPal Inc.+2019-08-05-10`36`16	PayPal	0		0.17976832389831543	0.15817523002624512
Outlook+2020-09-13-20`55`45	Microsoft	0		0.2579364776611328	0.9509539604187012
Free (ISP)+2019-10-19-15`52`48	Free ISP	0		0.21311426162719727	0.7775039672851562
Bank of Montreal+2020-09-10-16`11`50	Bank of Montreal	1	Apple	0.23626065254211426	0.06119728088378906
ADP, LLC+2019-08-21-13`38`18	ADP	0		0.23685693740844727	0.5343770980834961
Office365+2020-05-27-10`31`59	Microsoft	0		0.19769954681396484	0.18687081336975098
Amazon.com Inc.+2020-09-16-11`09`11	Amazon	1	Amazon	0.2225198745727539	0.05237865447998047
Credit Agricole S.A.+2020-09-04-14`30`51	Credit Agricole S.A	1	Credit Agricole S.A	0.2868797779083252	0.5559263229370117
Chase Personal Banking+2020-08-28-14`16`52	Chase Personal Banking	1	Banco de Chile	0.257415771484375	0.5071258544921875
PayPal Inc.+2020-07-01-12`16`40	PayPal	0		0.2701098918914795	0.17629766464233398
IRS+2020-05-24-10`20`07	IRS	0		0.2908287048339844	0.8896808624267578
Outlook+2020-09-13-23`55`06	Microsoft	0		0.2593865394592285	1.162755012512207
Chase Personal Banking+2020-09-19-16`07`20	Chase Personal Banking	0		0.19502878189086914	1.152151107788086
Chase Personal Banking+2020-07-08-13`29`36	Chase Personal Banking	0		0.3016164302825928	0.7436068058013916
Microsoft OneDrive+2020-09-15-10`47`39	Microsoft	1	Microsoft	0.21069788932800293	0.19642901420593262
PayPal Inc.+2019-08-05-10`37`47	PayPal	0		0.21843719482421875	0.15522122383117676
Office365+2019-10-23-08`47`19	Microsoft	0		0.2057664394378662	0.9263687133789062
Webmail Providers+2020-08-21-10`03`57	Webmail Provider	0		0.1900625228881836	0.09467649459838867
Webmail Providers+2020-07-19-14`26`59	Webmail Provider	0		0.23379158973693848	0.04632735252380371
Facebook, Inc.+2020-08-30-16`24`34	Facebook	0		0.2264695167541504	0.19478392601013184
